target_variable,status,source_columns,expression,notes,lookup_table
participant_id,compatible,SC,as.character(SC),"Study-assigned code, unique per participant.",
wave,compatible,wave,wave,"Five parent-report waves (T1-T5), roughly three months apart.",
data_year,inferred,wave,"recode_values(wave, ""T1"" ~ 2021, ""T2"" ~ 2021, c(""T3"", ""T4"", ""T5"") ~ 2022)","Fieldwork June 2021-Aug 2022 (10.1016/j.chb.2024.108284); waves ~3 months apart (item J1), so T1-T2 2021, T3-T5 2022. Exact dates not recorded; T2/T3 years unconfirmed.",
rct_arm,unavailable,,,Observational cohort; no randomisation.,
age_years,compatible,Age_child,as.numeric(Age_child),"Parent-reported age in whole years (T1 6-12, T5 7-13); T1 and T5 only.",
sex,compatible,Gender_child,"recode_values(as.numeric(Gender_child), 1 ~ ""Male"", 2 ~ ""Female"")",Parent report; only codes 1/2 occur. T1 only; T2-T5 NA pending the carry-forward decision.,
country,inferred,,"""Hong Kong""",Not recorded; population-representative Hong Kong primary-school sample (10.1016/j.chb.2024.108284).,
state,unavailable,,,Not an Australian dataset.,
ethnicity,inferred,,"""Asian""","Not asked; assigned from context: population-representative Hong Kong sample, overwhelmingly ethnic Chinese (10.1016/j.chb.2024.108284). No within-study variation; drop if Unknown preferred.",
indigenous,unavailable,,,Not collected; Indigenous/Non-Indigenous framing has no Hong Kong counterpart.,
minority,unavailable,,,"Ethnicity not asked. New_arrival_mother/father (in Hong Kong <7 years) is immigration status, so not used.",
immigrant_background,partial,"Place_birth_mother, Place_birth_father","if_else(
  wave == ""T1"",
  if_else(as.numeric(Place_birth_mother) %in% 1 | as.numeric(Place_birth_father) %in% 1, ""Native"", ""Unknown""),
  NA_character_
)","Parent 'lived in Hong Kong since birth' (I4, I10) taken as HK-born. Native if either parent HK-born, else Unknown (child's birthplace not asked). T1 only.",
ses_area,unavailable,,,No area-level SES measure; housing type and income are household-level.,
ses_household,compatible,Household_income_gp,"lookup_values(
  haven::as_factor(Household_income_gp),
  lookup_ses_household,
  dataset_id = spec$dataset_id,
  target_variable = ""ses_household""
)","Banded monthly household income (HKD, 9 bands + Refusal). Each band assigned to the within-sample quintile containing its cumulative midpoint; Q1-2 Low, Q3 Medium, Q4-5 High. Refusal -> Unknown. T1 only.",ses_household
ses_household_measure,inferred,Household_income_gp,"""Banded monthly household income (HKD, 9 bands, parent report)""",Records the source measure behind ses_household.,
ses_hukou,unavailable,,,Not applicable; Hong Kong has no hukou system.,
maternal_education,proximate,Edu_mother,"if_else(
  wave == ""T1"",
  coalesce(
    lookup_values(
      haven::as_factor(Edu_mother),
      lookup_maternal_education,
      dataset_id = spec$dataset_id,
      target_variable = ""maternal_education""
    ),
    ""Unknown""
  ),
  NA_character_
)","Mother's highest attainment, four Hong Kong bands. Proximate: top band (post-secondary) spans sub-degree and degree, so Bachelor+ cannot be separated. T1 only; no maternal record -> Unknown.",maternal_education
paternal_education,proximate,Edu_father,"if_else(
  wave == ""T1"",
  recode_values(
    as.numeric(Edu_father),
    c(1, 2, 3) ~ ""Secondary school or less"",
    4 ~ ""Post-secondary"",
    default = ""Unknown""
  ),
  NA_character_
)",Father's highest attainment; same bands and proximate reason as maternal_education. T1 only; no paternal record -> Unknown.,
parental_education,proximate,"Edu_mother, Edu_father","if_else(
  wave == ""T1"",
  recode_values(
    pmax(as.numeric(Edu_mother), as.numeric(Edu_father), na.rm = TRUE),
    c(1, 2, 3) ~ ""Secondary school or less"",
    4 ~ ""Post-secondary"",
    default = ""Unknown""
  ),
  NA_character_
)",Higher of the two parents' attainment (max of ordered codes 1-4; one reported parent suffices). Proximate; see maternal_education. T1 only; neither parent recorded -> Unknown.,
urbanicity,inferred,,"""Urban""",Not measured; Hong Kong is entirely urban.,
family_structure,proximate,S1,"recode_values(as.numeric(S1), 1 ~ ""Two biological/adoptive parents"", 2 ~ ""Single parent"")",Item S1: does the responding parent have a spouse/partner. Proximate: step/blended families cannot be separated from two-biological-parent households. T1 only.,
school_grade,compatible,Class,"recode_values(
  as.numeric(Class),
  1 ~ ""Primary 1"",
  2 ~ ""Primary 2"",
  3 ~ ""Primary 3"",
  4 ~ ""Primary 4"",
  5 ~ ""Primary 5"",
  6 ~ ""Primary 6"",
  7 ~ ""Secondary 1""
)","Hong Kong school year; T1 (Primary 1-6) and T5 (Primary 2-6, Secondary 1) only.",
st_measure_type,inferred,,"""Continuous""",Parents reported hours per day for each activity/device combination.,
st_measure_name,inferred,,"""Custom""","Custom parent-reported time-use grid: activity (TV, study, gaming, social media) x device (tablet, phone, console) x weekday/weekend, plus solitary vs parent co-viewing.",
st_responder,inferred,ST,"case_when(!is.na(ST) ~ ""Parent or carer"")",No 'who answered' variable; all waves parent-completed and the grid asks parents for the child's hours (10.1016/j.chb.2024.108284).,
st_total_wd,compatible,"ST_solitary_wd, ST_wParent_wd",ST_solitary_wd + ST_wParent_wd,"Hours per average weekday, all measured activities. Sum of solitary + parent-co-viewed use, which equals the sum of the eight activity-by-device items.",
st_total_we,compatible,"ST_solitary_wk, ST_wParent_wk",ST_solitary_wk + ST_wParent_wk,Weekend-day counterpart of st_total_wd.,
st_total,compatible,ST,ST,Study-derived 5:2 weighted mean of weekday and weekend totals.,
st_watch_wd,partial,ST_TV_wd,ST_TV_wd,"TV-watching hours, average weekday. Partial: watching is a TV category only; tablet/phone video is not separated from the study, gaming and social-media items.",
st_watch_we,partial,ST_TV_wk,ST_TV_wk,Weekend-day counterpart of st_watch_wd.,
st_watch,partial,ST_TV,ST_TV,Study-derived 5:2 weighted average day. Partial; see st_watch_wd.,
st_game_wd,compatible,"ST_game_tablet_wd, ST_game_phone_wd, ST_game_console_wd",ST_game_tablet_wd + ST_game_phone_wd + ST_game_console_wd,"Gaming, average weekday: sum over tablet, phone and games console.",
st_game_we,compatible,"ST_game_tablet_wk, ST_game_phone_wk, ST_game_console_wk",ST_game_tablet_wk + ST_game_phone_wk + ST_game_console_wk,Weekend-day counterpart of st_game_wd.,
st_game,compatible,ST_game,ST_game,Study-derived 5:2 weighted average day across the same three devices.,
st_game_comp_wd,unavailable,,,"No computer gaming category (tablet, phone, games console only).",
st_game_comp_we,unavailable,,,"No computer gaming category (tablet, phone, games console only).",
st_game_comp,unavailable,,,"No computer gaming category (tablet, phone, games console only).",
st_game_console_wd,compatible,ST_game_console_wd,ST_game_console_wd,Games-console gaming on an average weekday.,
st_game_console_we,compatible,ST_game_console_wk,ST_game_console_wk,Weekend-day counterpart.,
st_game_console,compatible,"ST_game_console_wd, ST_game_console_wk",(ST_game_console_wd * 5 + ST_game_console_wk * 2) / 7,5:2 weighted average day.,
st_game_handheldconsole_wd,unavailable,,,Handheld consoles not separated from games consoles.,
st_game_handheldconsole_we,unavailable,,,Handheld consoles not separated from games consoles.,
st_game_handheldconsole,unavailable,,,Handheld consoles not separated from games consoles.,
st_game_active_wd,unavailable,,,Active/exergaming not asked.,
st_game_active_we,unavailable,,,Active/exergaming not asked.,
st_game_active,unavailable,,,Active/exergaming not asked.,
st_game_phone_wd,compatible,ST_game_phone_wd,ST_game_phone_wd,"Phone gaming, average weekday; tablet gaming asked separately (st_game_tablet_wd).",
st_game_phone_we,compatible,ST_game_phone_wk,ST_game_phone_wk,Weekend-day counterpart of st_game_phone_wd.,
st_game_phone,compatible,"ST_game_phone_wd, ST_game_phone_wk",(ST_game_phone_wd * 5 + ST_game_phone_wk * 2) / 7,"5:2 weighted average day, phone only.",
st_game_tablet_wd,compatible,ST_game_tablet_wd,ST_game_tablet_wd,Gaming on a tablet on an average weekday.,
st_game_tablet_we,compatible,ST_game_tablet_wk,ST_game_tablet_wk,Weekend-day counterpart.,
st_game_tablet,compatible,"ST_game_tablet_wd, ST_game_tablet_wk",(ST_game_tablet_wd * 5 + ST_game_tablet_wk * 2) / 7,5:2 weighted average day.,
st_comp_nongaming_wd,unavailable,,,"No computer category (tablet, phone, games console and TV only).",
st_comp_nongaming_we,unavailable,,,"No computer category (tablet, phone, games console and TV only).",
st_comp_nongaming,unavailable,,,"No computer category (tablet, phone, games console and TV only).",
st_comp_wd,unavailable,,,"No computer category (tablet, phone, games console and TV only).",
st_comp_we,unavailable,,,"No computer category (tablet, phone, games console and TV only).",
st_comp,unavailable,,,"No computer category (tablet, phone, games console and TV only).",
st_tablet_wd,partial,"ST_study_tablet_wd, ST_game_tablet_wd, ST_socialmedia_tablet_wd",ST_study_tablet_wd + ST_game_tablet_wd + ST_socialmedia_tablet_wd,"Tablet use, average weekday: sum of the three device-level activities. Partial: watching is a device-agnostic TV category, so tablet video is not counted.",
st_tablet_we,partial,"ST_study_tablet_wk, ST_game_tablet_wk, ST_socialmedia_tablet_wk",ST_study_tablet_wk + ST_game_tablet_wk + ST_socialmedia_tablet_wk,Weekend-day counterpart of st_tablet_wd.,
st_tablet,partial,"ST_study_tablet_wd, ST_game_tablet_wd, ST_socialmedia_tablet_wd, ST_study_tablet_wk, ST_game_tablet_wk, ST_socialmedia_tablet_wk","((ST_study_tablet_wd + ST_game_tablet_wd + ST_socialmedia_tablet_wd) *
  5 +
  (ST_study_tablet_wk + ST_game_tablet_wk + ST_socialmedia_tablet_wk) * 2) /
  7",5:2 weighted average day. Partial; see st_tablet_wd.,
st_phone_wd,partial,"ST_study_phone_wd, ST_game_phone_wd, ST_socialmedia_phone_wd",ST_study_phone_wd + ST_game_phone_wd + ST_socialmedia_phone_wd,"Phone use, average weekday: sum of the three device-level activities. Partial; see st_tablet_wd.",
st_phone_we,partial,"ST_study_phone_wk, ST_game_phone_wk, ST_socialmedia_phone_wk",ST_study_phone_wk + ST_game_phone_wk + ST_socialmedia_phone_wk,Weekend-day counterpart of st_phone_wd.,
st_phone,partial,"ST_study_phone_wd, ST_game_phone_wd, ST_socialmedia_phone_wd, ST_study_phone_wk, ST_game_phone_wk, ST_socialmedia_phone_wk","((ST_study_phone_wd + ST_game_phone_wd + ST_socialmedia_phone_wd) *
  5 +
  (ST_study_phone_wk + ST_game_phone_wk + ST_socialmedia_phone_wk) * 2) /
  7",5:2 weighted average day. Partial; see st_phone_wd.,
st_socmedia_wd,compatible,"ST_socialmedia_tablet_wd, ST_socialmedia_phone_wd",ST_socialmedia_tablet_wd + ST_socialmedia_phone_wd,"Social media, average weekday: sum over tablet and phone.",
st_socmedia_we,compatible,"ST_socialmedia_tablet_wk, ST_socialmedia_phone_wk",ST_socialmedia_tablet_wk + ST_socialmedia_phone_wk,Weekend-day counterpart.,
st_socmedia,compatible,ST_socialmedia,ST_socialmedia,Study-derived 5:2 weighted average day.,
st_educational_wd,compatible,"ST_study_tablet_wd, ST_study_phone_wd",ST_study_tablet_wd + ST_study_phone_wd,"Studying on screens, average weekday: sum over tablet and phone.",
st_educational_we,compatible,"ST_study_tablet_wk, ST_study_phone_wk",ST_study_tablet_wk + ST_study_phone_wk,Weekend-day counterpart.,
st_educational,compatible,ST_study,ST_study,Study-derived 5:2 weighted average day.,
st_work_wd,unavailable,,,Not collected.,
st_work_we,unavailable,,,Not collected.,
st_work,unavailable,,,Not collected.,
st_internet_wd,unavailable,,,No general internet category; asked by activity and device.,
st_internet_we,unavailable,,,No general internet category; asked by activity and device.,
st_internet,unavailable,,,No general internet category; asked by activity and device.,
st_videochat,incompatible,"C2_10a, C2_10b",,Leisure item C2_10 'talking on the phone' does not separate video from voice calls.,
st_messaging_wd,unavailable,,,Not collected.,
st_messaging_we,unavailable,,,Not collected.,
st_messaging,unavailable,,,Not collected.,
st_creating,unavailable,,,Not collected.,
st_email,unavailable,,,Not collected.,
st_shopping,unavailable,,,Not collected.,
st_total_school,unavailable,,,No at-school question.,
st_educational_school,unavailable,,,No at-school question.,
st_comp_school,unavailable,,,No at-school question.,
st_tablet_school,unavailable,,,No at-school question.,
st_internet_school,unavailable,,,No at-school question.,
st_phone_school,unavailable,,,No at-school question.,
acc_academachment_selfrated,unavailable,,,No academic or school-engagement measures.,
acc_academachment_lettergrades,unavailable,,,No academic or school-engagement measures.,
acc_academachment_stdtest,unavailable,,,No academic or school-engagement measures.,
acc_schoolengage_caresschool,unavailable,,,No academic or school-engagement measures.,
acc_schoolengage_homework,unavailable,,,No academic or school-engagement measures.,
acc_academachment_numgrades,unavailable,,,No academic or school-engagement measures.,
acc_academachment_teacherrated,unavailable,,,No academic or school-engagement measures.,
acc_numeracy_stdtest,unavailable,,,No academic or school-engagement measures.,
acc_literacy_stdtest,unavailable,,,No academic or school-engagement measures.,
beh_hyper_basc2,unavailable,,,BASC-2 not administered.,
beh_atten_basc2,unavailable,,,BASC-2 not administered.,
beh_atten_self,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_selfreg_htks,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_bullied,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_beenbullied,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_beenbullied_online,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_bullied_online,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_fight,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_truancy,unavailable,,,Not collected; PedsQL F4_2-F4_3 record absence through illness only.,
beh_stealing,incompatible,E22,,"Only SDQ item E22 ('steals from home, school or elsewhere', parent report), which the schema excludes.",
beh_vandalism,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_conduct_sdq_parent,compatible,SDQ_Conduct,SDQ_Conduct,"SDQ conduct problems subscale, parent report (0-10). Collected at T1 and T5 only.",
beh_hyper_sdq_parent,compatible,SDQ_Hyperactivity,SDQ_Hyperactivity,"SDQ hyperactivity/inattention subscale, parent report (0-10). Collected at T1 and T5 only.",
beh_peerprob_sdq_parent,compatible,SDQ_Peer,SDQ_Peer,"SDQ peer problems subscale, parent report (0-10). Collected at T1 and T5 only.",
beh_prosocial_sdq_parent,compatible,SDQ_prosocial,SDQ_prosocial,"SDQ prosocial behaviour subscale, parent report (0-10). Collected at T1 and T5 only.",
beh_aggphys_bpaq_self,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_aggverb_bpaq_self,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_agganger_bpaq_self,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_agghostility_bpaq_self,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_agg_self,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_argues,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_persistence_finishwork,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_emotreg_stayscalm,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_peerprob_makefriends,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_conduct_diagnosed,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_conduct_diagnosed_severity,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_conduct_sdq_self,unavailable,,,SDQ parent form only.,
beh_hyper_sdq_self,unavailable,,,SDQ parent form only.,
beh_peerprob_sdq_self,unavailable,,,SDQ parent form only.,
beh_prosocial_sdq_self,unavailable,,,SDQ parent form only.,
beh_conduct_sdq_teacher,unavailable,,,SDQ parent form only.,
beh_hyper_sdq_teacher,unavailable,,,SDQ parent form only.,
beh_peerprob_sdq_teacher,unavailable,,,SDQ parent form only.,
beh_prosocial_sdq_teacher,unavailable,,,SDQ parent form only.,
beh_ext_sdq_parent,unavailable,"SDQ_Conduct, SDQ_Hyperactivity",,Conduct and hyperactivity subscales mapped; derive at analysis.,
beh_ext_sdq_self,unavailable,,,SDQ parent form only.,
beh_ext_sdq_teacher,unavailable,,,SDQ parent form only.,
beh_agg_cbcl_parent,unavailable,,,CBCL not administered.,
beh_atten_cbcl_parent,unavailable,,,CBCL not administered.,
beh_rulebreak_cbcl_parent,unavailable,,,CBCL not administered.,
beh_ext_cbcl_parent,unavailable,,,CBCL not administered.,
beh_cbcl_measure,unavailable,,,CBCL not administered.,
beh_prosocial_online_self,unavailable,,,Not collected; only behaviour measure is parent SDQ.,
beh_prosocial_online_measure,unavailable,,,Not collected.,
cog_execfunc_basc2,unavailable,,,BASC-2 not administered.,
cog_langexec_nepsy,unavailable,,,No cognitive or executive function measures.,
cog_phono_nepsy,unavailable,,,No cognitive or executive function measures.,
cog_inhibcont_nepsy,unavailable,,,No cognitive or executive function measures.,
cog_vismotor_nepsy,unavailable,,,No cognitive or executive function measures.,
cog_verbalfluency_nepsy,unavailable,,,No cognitive or executive function measures.,
cog_inhib_nihtb_flanker,unavailable,,,No cognitive or executive function measures.,
cog_flex_nihtb_dccs,unavailable,,,No cognitive or executive function measures.,
cog_wm_nihtb_listsort,unavailable,,,No cognitive or executive function measures.,
cog_speed_nihtb_pattern,unavailable,,,No cognitive or executive function measures.,
cog_epimem_nihtb_picseq,unavailable,,,No cognitive or executive function measures.,
cog_vocab_nihtb_picvocab,unavailable,,,No cognitive or executive function measures.,
cog_fluidcomp_nihtb,unavailable,,,No cognitive or executive function measures.,
cog_crystcomp_nihtb,unavailable,,,No cognitive or executive function measures.,
cog_totalcomp_nihtb,unavailable,,,No cognitive or executive function measures.,
cog_wm_digitspan,unavailable,,,No cognitive or executive function measures.,
cog_iq_fullscale,unavailable,,,No cognitive or executive function measures.,
cog_vocab_bpvs,unavailable,,,No cognitive or executive function measures.,
cog_vocab_ppvt,unavailable,,,No cognitive or executive function measures.,
cog_execfunc_brief_parent,unavailable,,,No cognitive or executive function measures.,
cog_vocab_bas_naming,unavailable,,,No cognitive or executive function measures.,
cog_nonverbalreason_bas_picsim,unavailable,,,No cognitive or executive function measures.,
cog_spatial_bas_pattern,unavailable,,,No cognitive or executive function measures.,
cog_verbalreason_bas_versim,unavailable,,,No cognitive or executive function measures.,
cog_schoolread_bracken,unavailable,,,No cognitive or executive function measures.,
cog_creativethinking_stdtest,unavailable,,,No cognitive or executive function measures.,
mh_anx_basc2,unavailable,,,BASC-2 not administered.,
mh_dep_basc2,unavailable,,,BASC-2 not administered.,
mh_emotsymp_sdq_parent,compatible,SDQ_Emotion,SDQ_Emotion,"SDQ emotional symptoms subscale, parent report (0-10). Collected at T1 and T5 only.",
mh_totaldiff_sdq_parent,compatible,SDQ,SDQ,"SDQ total difficulties, parent report; equals the sum of the four difficulty subscales.",
mh_anx_diagnosed,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_anx_diagnosed_severity,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_dep_diagnosed,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_dep_diagnosed_severity,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_emotsymp_sdq_self,unavailable,,,SDQ parent form only.,
mh_emotsymp_sdq_teacher,unavailable,,,SDQ parent form only.,
mh_totaldiff_sdq_self,unavailable,,,SDQ parent form only.,
mh_totaldiff_sdq_teacher,unavailable,,,SDQ parent form only.,
mh_int_sdq_parent,unavailable,"SDQ_Emotion, SDQ_Peer",,Emotional symptoms and peer problems subscales mapped; derive at analysis.,
mh_int_sdq_self,unavailable,,,SDQ parent form only.,
mh_int_sdq_teacher,unavailable,,,SDQ parent form only.,
mh_dep_smfq_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_dep_smfq_parent,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_dep_cdi_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_dep_cesd_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_dep_phq9_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_dep_rcads_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_dep_dass21_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_dep_scl_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_distress_k6_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_distress_k10_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_anx_masc_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_anx_scas_self,unavailable,,,Parent SCAS only; see mh_anx_scas_parent.,
mh_anx_scas_parent,compatible,SCAS_total,SCAS_total,"Spence Children's Anxiety Scale total, parent form (SCAS-P; all questionnaires parent-completed): 38 items scored 0-3. T1 and T5 only.",
mh_anx_scared_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_anx_scared_parent,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_anx_gad7_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_anx_rcads_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_anx_dass21_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_anxdep_cbcl_parent,unavailable,,,CBCL not administered.,
mh_int_cbcl_parent,unavailable,,,CBCL not administered.,
mh_dep_binary_self,unavailable,,,Not collected; only parent SDQ and SCAS.,
mh_dep_self,unavailable,,,Parent report only; no self-report depression scale.,
mh_dep_measure,unavailable,,,Not collected.,
mh_anx_self,unavailable,,,Parent-report SCAS only; no self-report anxiety scale.,
mh_anx_measure,unavailable,,,Not collected.,
mh_depanx_diagnosed,unavailable,,,Not collected.,
mh_stress_self,unavailable,,,Not collected; PSI covers parental stress only.,
mh_lonely_self,unavailable,,,Not collected.,
mh_lonely_scale_self,unavailable,,,Not collected.,
mh_lonely_measure,unavailable,,,Not collected.,
mh_sad_self,incompatible,"E13, F2_2",,Parent-rated SDQ item 13 ('often unhappy') and PedsQL 'feeling sad or blue' only; no self-report item.,
mh_worry_self,incompatible,"E8, F2_5, H1",,"Parent-rated SDQ item 8 ('many worries'), PedsQL and SCAS worry items only; no self-report item.",
mh_irritable_self,incompatible,"E5, F2_3",,Parent-rated SDQ item 5 ('temper tantrums') and PedsQL 'feeling angry' only; no self-report item.,
mh_nobodycares_self,unavailable,,,Not collected.,
mh_lifenotworth_self,unavailable,,,Not collected.,
mh_suicide_ideation_self,unavailable,,,Not collected.,
mh_suicide_attempt_self,unavailable,,,Not collected.,
mh_psychsom_hbscscl_self,unavailable,,,HBSC-SCL not administered.,
mh_psychsom_measure,unavailable,,,HBSC-SCL not administered.,
wb_emotsc_basc2,unavailable,,,BASC-2 not administered.,
wb_mwb_wemwbs,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_lifesatisfaction_cantrilladder,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_resil_basc2,unavailable,,,BASC-2 not administered.,
wb_psychcomplaints_feellow,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_psychcomplaints_irritable,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_psychcomplaints_nervous,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_psychcomplaints_diffsleep,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_bodyimage,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_lifesat_slss_self,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_lifesat_swls_self,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_lifesat_singleitem_self,unavailable,,,Not collected.,
wb_domainsat_schoolwork_self,unavailable,,,Not collected.,
wb_domainsat_appearance_self,unavailable,,,Not collected.,
wb_domainsat_family_self,unavailable,,,Not collected.,
wb_domainsat_friends_self,unavailable,,,Not collected.,
wb_domainsat_school_self,unavailable,,,Not collected.,
wb_qol_pedsql_self,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_qol_pedsql_parent,compatible,"F1_1, F1_2, F1_3, F1_4, F1_5, F1_6, F1_7, F1_8, F2_1, F2_2, F2_3, F2_4, F2_5, F3_1, F3_2, F3_3, F3_4, F3_5, F4_1, F4_2, F4_3, F4_4, F4_5","((5 - na_if(as.numeric(F1_1), 99999999)) +
  (5 - na_if(as.numeric(F1_2), 99999999)) +
  (5 - na_if(as.numeric(F1_3), 99999999)) +
  (5 - na_if(as.numeric(F1_4), 99999999)) +
  (5 - na_if(as.numeric(F1_5), 99999999)) +
  (5 - na_if(as.numeric(F1_6), 99999999)) +
  (5 - na_if(as.numeric(F1_7), 99999999)) +
  (5 - na_if(as.numeric(F1_8), 99999999)) +
  (5 - na_if(as.numeric(F2_1), 99999999)) +
  (5 - na_if(as.numeric(F2_2), 99999999)) +
  (5 - na_if(as.numeric(F2_3), 99999999)) +
  (5 - na_if(as.numeric(F2_4), 99999999)) +
  (5 - na_if(as.numeric(F2_5), 99999999)) +
  (5 - na_if(as.numeric(F3_1), 99999999)) +
  (5 - na_if(as.numeric(F3_2), 99999999)) +
  (5 - na_if(as.numeric(F3_3), 99999999)) +
  (5 - na_if(as.numeric(F3_4), 99999999)) +
  (5 - na_if(as.numeric(F3_5), 99999999)) +
  (5 - na_if(as.numeric(F4_1), 99999999)) +
  (5 - na_if(as.numeric(F4_2), 99999999)) +
  (5 - na_if(as.numeric(F4_3), 99999999)) +
  (5 - na_if(as.numeric(F4_4), 99999999)) +
  (5 - na_if(as.numeric(F4_5), 99999999))) *
  25 /
  23","PedsQL 4.0 Parent Proxy Report total, rescored from the 23 raw items (coded 1-5): (5 - x) * 25 per item, mean of all 23. Supplied PesQL_* columns unusable: study applied (4 - x) * 25 (items 25 points low, top responses dropped instead of scoring -25) and averaged subscale scores. Sentinel 99999999 (Refused) -> NA.",
wb_qol_kidscreen10_self,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_qol_kidscreen10_parent,unavailable,,,Not administered; parent-proxy HRQoL is the PedsQL (see wb_qol_pedsql_parent).,
wb_selfesteem_rosenberg_self,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_selfesteem_self,unavailable,,,Not collected.,
wb_selfesteem_measure,unavailable,,,Not collected.,
wb_selfefficacy_gse_self,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_selfefficacy_self,unavailable,,,Not collected.,
wb_selfefficacy_measure,unavailable,,,Not collected.,
wb_mwb_who5_self,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_happiness_shs_self,unavailable,,,Not collected; only parent-proxy PedsQL.,
wb_mwb_swemwbs_self,unavailable,,,SWEMWBS not administered.,
wb_selfratedhealth_self,unavailable,,,Not collected.,
wb_posaffect_self,unavailable,,,Not collected.,
wb_posaffect_measure,unavailable,,,Not collected.,
wb_eudaimonic_self,unavailable,,,Not collected.,
wb_eudaimonic_measure,unavailable,,,Not collected.,
