target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,uniqueID,as.character(uniqueID),Unique respondent ID assigned by the study.,,
wave,unavailable,,,Single collection occasion.,,
data_year,inferred,,2010,"Fieldwork Apr-Oct 2010 in all 25 countries (technical report and user guide, UK Data Service SN 6885); no per-participant interview date.",,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,compatible,Weight,as.numeric(haven::zap_labels(Weight)),"Weight: final EU weight (design, non-response and population-size adjustment across the 25 countries), the release's weight for the pooled data; the within-country weight Weightb is not mapped.",,
survey_strata,partial,country,as.character(haven::as_factor(country)),"Country: each country is a separate sample. Partial: within country the sampling-point frame was only implicitly stratified (ordered by region and urbanisation), which is not released as strata.",,
survey_cluster,compatible,"country, samppt","if_else(
  as.numeric(haven::zap_labels(samppt)) >= 0,
  paste(haven::as_factor(country), as.numeric(haven::zap_labels(samppt)), sep = ""_""),
  NA_character_
)","samppt: sampling point, the first stage of the three-stage clustered sample; numbered within country, so prefixed with the country name (3,374 points). One negative code = NA.",,
age_years,compatible,agechild,as.numeric(agechild) + 0.5,Child age in completed years at interview (sample aged 9-16); +0.5 to the midpoint of the year.,,
sex,compatible,sexchild,"recode_values(as.numeric(haven::zap_labels(sexchild)), 1 ~ ""Male"", 2 ~ ""Female"", default = ""Unknown"")",Child gender recorded at household screening; binary only (no third category collected).,,
country,compatible,"country, UKNuts1Regions","case_when(
  as.numeric(haven::zap_labels(country)) == 25 ~ recode_values(
    as.numeric(haven::zap_labels(UKNuts1Regions)),
    6 ~ ""Northern Ireland"",
    7 ~ ""Scotland"",
    10 ~ ""Wales"",
    c(1, 2, 3, 4, 5, 8, 9, 11, 12) ~ ""England"",
    default = ""Unknown""
  ),
  .default = recode_values(
    as.numeric(haven::zap_labels(country)),
    1 ~ ""Austria"",
    2 ~ ""Belgium"",
    3 ~ ""Bulgaria"",
    4 ~ ""Cyprus"",
    5 ~ ""Czech Republic"",
    6 ~ ""Germany"",
    7 ~ ""Denmark"",
    8 ~ ""Estonia"",
    9 ~ ""Greece"",
    10 ~ ""Spain"",
    11 ~ ""Finland"",
    12 ~ ""France"",
    13 ~ ""Hungary"",
    14 ~ ""Ireland"",
    15 ~ ""Italy"",
    16 ~ ""Lithuania"",
    17 ~ ""Netherlands"",
    18 ~ ""Norway"",
    19 ~ ""Poland"",
    20 ~ ""Portugal"",
    21 ~ ""Romania"",
    22 ~ ""Sweden"",
    23 ~ ""Slovenia"",
    24 ~ ""Turkey"",
    default = ""Unknown""
  )
)",UK (country=25) split into England/Scotland/Wales/Northern Ireland via the NUTS1 region variable; other 24 countries mapped directly. Cyprus and Northern Ireland added to the schema for this dataset.,,
