target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,participant_id,as.character(participant_id),"MCSID plus cohort-member number, built by the tidier; unique within a sweep",,
wave,compatible,.wave,as.character(.wave),Six MCS sweeps: sweep_2 (age 3) to sweep_7 (age 17),,
data_year,compatible,"BHINTY00, CHINTY00, DHINTY00, EINTY0000, FHINTY00, GHINTY00","coalesce(
  as.numeric(BHINTY00),
  as.numeric(CHINTY00),
  as.numeric(DHINTY00),
  as.numeric(EINTY0000),
  as.numeric(FHINTY00),
  as.numeric(GHINTY00)
)","Household interview year, from the household grid. Fieldwork spans two calendar years (three at sweep 2), so the recorded year is used.",,
rct_arm,unavailable,,,Observational birth cohort with no randomised allocation,,
age_years,compatible,"BHCAGE00, CHCAGE00, DCMCS4AGE, EMCS5AGE, FCMCS6AG, GCMCS7AG","coalesce(
  as.numeric(BHCAGE00) / 365.25,
  as.numeric(CHCAGE00) / 365.25,
  as.numeric(DCMCS4AGE),
  as.numeric(EMCS5AGE),
  as.numeric(FCMCS6AG),
  as.numeric(GCMCS7AG)
)","Age at interview. Sweeps 2-3: days (household grid) / 365.25. Sweeps 4-7: cohort-member modules' age to 0.1 year (finer than the grid's whole years). One sweep-5 case coded 18.0, implausible but kept.",,
sex,compatible,"BHCSEX00, CHCSEX00, DHCSEX00, ECSEX0000, FHCSEX00, GHCSEX00","recode_values(
  coalesce(
    as.numeric(BHCSEX00),
    as.numeric(CHCSEX00),
    as.numeric(DHCSEX00),
    as.numeric(ECSEX0000),
    as.numeric(FHCSEX00),
    as.numeric(GHCSEX00)
  ),
  1 ~ ""Male"",
  2 ~ ""Female"",
  3 ~ ""Other"",
  default = ""Unknown""
)","From the household grid (all sweeps; cohort-member modules carry it at only three). Sweep 7 asks gender, with a spontaneous 'other way' response taken as Other; earlier sweeps male/female only.",,
country,compatible,"BACTRY00, CACTRY00, DACTRY00, EACTRY00, FACTRY00, GACTRY00, G_COUNTRY","recode_values(
  coalesce(
    as.numeric(BACTRY00),
    as.numeric(CACTRY00),
    as.numeric(DACTRY00),
    as.numeric(EACTRY00),
    as.numeric(FACTRY00),
    as.numeric(GACTRY00),
    as.numeric(G_COUNTRY)
  ),
  1 ~ ""England"",
  2 ~ ""Wales"",
  3 ~ ""Scotland"",
  4 ~ ""Northern Ireland"",
  default = ""Unknown""
)","Family-level administrative country at each sweep. Sweep 7 has none: household grid (GACTRY00), then interviewer-recorded country (G_COUNTRY).",,
state,unavailable,,,Not an Australian dataset,,
ethnicity,compatible,"BDC06E00, CDC06E00, DDC06E00, FDCE0600","lookup_values(
  recode_values(
    local({
      e <- coalesce(as.numeric(BDC06E00), as.numeric(CDC06E00), as.numeric(DDC06E00), as.numeric(FDCE0600))
      k <- !is.na(e)
      e[k][match(participant_id, participant_id[k])]
    }),
    1 ~ ""White"",
    2 ~ ""Mixed"",
    3 ~ ""Indian"",
    4 ~ ""Pakistani and Bangladeshi"",
    5 ~ ""Black or Black British"",
    6 ~ ""Other ethnic group (including Chinese)""
  ),
  lookup_ethnicity,
  dataset_id = spec$dataset_id,
  target_variable = ""ethnicity""
)","MCS six-category census classification (sweeps 2, 3, 4, 6), carried within participant_id as time-invariant. Codes relabelled inline before the shared lookup.",ethnicity,
indigenous,unavailable,,,Not collected (UK sample),,
minority,compatible,"BDC06E00, CDC06E00, DDC06E00, FDCE0600","recode_values(
  local({
    e <- coalesce(as.numeric(BDC06E00), as.numeric(CDC06E00), as.numeric(DDC06E00), as.numeric(FDCE0600))
    k <- !is.na(e)
    e[k][match(participant_id, participant_id[k])]
  }),
  1 ~ ""Non-minority"",
  c(2, 3, 4, 5, 6) ~ ""Minority"",
  default = ""Unknown""
)","From the carried-forward ethnic group (see ethnicity). MCS White includes White Irish and Other White, treated as non-minority.",,
immigrant_background,partial,"respondent_born_uk, respondent_born_uk_PARTNER","local({
  uk <- cbind(as.numeric(respondent_born_uk), as.numeric(respondent_born_uk_PARTNER))
  case_when(
    rowSums(uk == 1, na.rm = TRUE) > 0 ~ ""Native"",
    rowSums(uk == 2, na.rm = TRUE) > 0 ~ ""Second-generation"",
    .default = ""Unknown""
  )
})","'Were you born in the UK?' for main and partner respondents (all at sweep 2, new respondents at sweeps 3-6). Native if either was, else Second-generation. Partial: cohort member's birthplace not released (assumed UK); respondents may be carers, not parents; one known respondent decides alone.",,
ses_area,compatible,"BIMDSCOE, BIWIMDSC, BISIMDSC, BIMDSCON, CIMDSCOE, CIWIMDSC, CISIMDSC, CIMDSCON, DIMDSCOE, DIWIMDSC, DISIMDSC, DIMDSCON, EIMDSCOE, EIWIMDSC, EISIMDSC, EIMDSCON, FIMDSCOE, FIWIMDSC, FISIMDSC, FIMDSCON","recode_values(
  coalesce(
    as.numeric(BIMDSCOE),
    as.numeric(BIWIMDSC),
    as.numeric(BISIMDSC),
    as.numeric(BIMDSCON),
    as.numeric(CIMDSCOE),
    as.numeric(CIWIMDSC),
    as.numeric(CISIMDSC),
    as.numeric(CIMDSCON),
    as.numeric(DIMDSCOE),
    as.numeric(DIWIMDSC),
    as.numeric(DISIMDSC),
    as.numeric(DIMDSCON),
    as.numeric(EIMDSCOE),
    as.numeric(EIWIMDSC),
    as.numeric(EISIMDSC),
    as.numeric(EIMDSCON),
    as.numeric(FIMDSCOE),
    as.numeric(FIWIMDSC),
    as.numeric(FISIMDSC),
    as.numeric(FIMDSCON)
  ),
  c(1, 2, 3, 4) ~ ""Low"",
  c(5, 6) ~ ""Medium"",
  c(7, 8, 9, 10) ~ ""High"",
  default = ""Unknown""
)","IMD decile of the child's small area (1 most deprived); the four nations' indices (IMD, WIMD, SIMD, NIMDM) coalesced, within-nation ranks. Deciles 1-4 Low, 5-6 Medium, 7-10 High. No geographic data at sweep 7 (Unknown).",,
ses_household,compatible,"BOECDUK0, COECDUK0, DOECDUK0, EOECDUK0, FOECDUK0","recode_values(
  coalesce(
    as.numeric(BOECDUK0),
    as.numeric(COECDUK0),
    as.numeric(DOECDUK0),
    as.numeric(EOECDUK0),
    as.numeric(FOECDUK0)
  ),
  c(1, 2) ~ ""Low"",
  3 ~ ""Medium"",
  c(4, 5) ~ ""High"",
  default = ""Unknown""
)","OECD-equivalised net household income, released as UK-wide weighted quintiles. Quintiles 1-2 Low, 3 Medium, 4-5 High. No income quintiles at sweep 7 (Unknown).",,
ses_household_measure,compatible,.wave,"if_else(.wave == ""sweep_7"", ""Unknown"", ""OECD equivalised net household income, UK-wide weighted quintiles"")",Names the measure behind ses_household; sweep 7 has none.,,
ses_hukou,unavailable,,,Not a Chinese study.,,
