target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,ID,as.character(ID),Numeric panel ID; unique across both cohorts and youth files.,,
wave,compatible,wave,as.character(wave),"Wave label from the tidier (w1-w7), 2018-2024 annual collections.",,
data_year,inferred,wave,"recode_values(wave, ""w1"" ~ 2018, ""w2"" ~ 2019, ""w3"" ~ 2020, ""w4"" ~ 2021, ""w5"" ~ 2022, ""w6"" ~ 2023, ""w7"" ~ 2024)","One collection per year, w1 = 2018 to w7 = 2024; from the spec.",,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,compatible,WEIGHTA1,as.numeric(WEIGHTA1),"Main panel only; siblings are outside the weighted sample (NA). Cross-sectional original weight (WEIGHTA1), not rescaled.",,
survey_strata,unavailable,,,Not in the supplied extract.,,
survey_cluster,partial,"SCLID, ID, wave","local({
  wave_num <- as.numeric(sub(""^w"", """", wave))
  first_wave <- stats::ave(wave_num, ID, FUN = min)
  cluster <- if_else(wave_num == first_wave, as.numeric(SCLID), NA_real_)
  as.character(carry_within(cluster, ID, wave_num))
})","School code (SCLID) from each participant's earliest wave, carried within participant to every later wave, without a wave prefix. Partial: SCLID is the participant's current school, which changes when they move, and the sampled-school design is not documented in the supplied files.",,
age_years,compatible,"YBRT1A, wave","recode_values(wave, ""w1"" ~ 2018, ""w2"" ~ 2019, ""w3"" ~ 2020, ""w4"" ~ 2021, ""w5"" ~ 2022, ""w6"" ~ 2023, ""w7"" ~ 2024) -
  as.numeric(YBRT1A)","Collection year minus birth year (YBRT1A); no interview date or documented fieldwork window, so no midpoint adjustment and no +0.5. w7 ages above 19 (m1 cohort, older siblings) are kept.",,
sex,compatible,YGENDER,"recode_values(as.numeric(YGENDER), 1 ~ ""Male"", 2 ~ ""Female"", default = ""Unknown"")",No 'other'/'prefer not to say' option; the Unknown default is only a guard.,,
country,inferred,,"""South Korea""",No country variable; fieldwork in the Republic of Korea.,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,incompatible,PBRP1,,No ethnicity or race item; PBRP1 (guardian's birthplace) does not describe the child.,,
indigenous,unavailable,,,Not collected.,,
minority,incompatible,PBRP1,,Guardian birthplace only (PBRP1); cannot identify minority children.,,
immigrant_background,incompatible,"PARENT, PBRP1",,Responding guardian's birthplace only (PBRP1); the other parent's is not asked.,,
born_in_country,compatible,PYBRP1,"recode_values(as.numeric(PYBRP1), 1 ~ ""Yes"", 2 ~ ""No"", default = ""Unknown"")","Guardian report of the child's birthplace (PYBRP1: in Korea / abroad), every wave; missing = Unknown.",,
ses_area,unavailable,,,Not collected.,,
