target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,inferred,participant_id,as.character(participant_id),"Tidier builds <year>_<serial>: CDC record number 2013-2019, row position 1999-2011 (no student ID), hence inferred. Independent yearly samples.",,
wave,compatible,.wave,as.character(.wave),Survey year; repeated cross-section. 2021 and 2023 dropped (no usable screen-time item).,,
data_year,compatible,.wave,as.numeric(.wave),"Survey's own year label; every kept wave was fielded in spring of that year (user guides, 'Components of the YRBSS').",,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,compatible,survey_weight,survey_weight,"CDC's final student weight, adjusted for nonresponse and the oversampling of Black and Hispanic students; released scaled so each wave's weights sum to its sample size, and used as released. All ten waves.",,
survey_strata,compatible,"stratum, .wave","if_else(is.na(stratum), NA_character_, paste0(.wave, ""_"", sprintf(""%.0f"", stratum)))","CDC sampling stratum (racial/ethnic concentration by MSA status), 13-19 per wave; codes recur across waves, so prefixed with the survey year (e.g. '2019_213').",,
survey_cluster,compatible,"psu, .wave","if_else(is.na(psu), NA_character_, paste0(.wave, ""_"", sprintf(""%.0f"", psu)))","CDC PSU of the student's school (a county, group of adjacent counties or sub-area of a large county), 52-61 per wave; codes recur across waves, so prefixed with the survey year.",,
age_years,partial,age_band,"recode_values(as.numeric(age_band), 1 ~ 12.5, 2 ~ 13.5, 3 ~ 14.5, 4 ~ 15.5, 5 ~ 16.5, 6 ~ 17.5, 7 ~ 18.5)","Q1 age in single completed years (12 or younger ... 18 or older): +0.5 (13 -> 13.5); open bands at bound + 0.5 (12.5, 18.5). Partial: 15% of rows sit in the open 18-or-older band.",,
sex,compatible,sex,"recode_values(as.numeric(sex), 1 ~ ""Female"", 2 ~ ""Male"", default = ""Unknown"")","Q2, 1 = Female, 2 = Male, unchanged across waves; missing -> Unknown.",,
country,inferred,,"""USA""",National sample of US public and private high schools.,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,proximate,"race_combined_pre2007, race_ethnicity_cdc","lookup_values(
  coalesce(
    recode_values(
      as.numeric(race_combined_pre2007),
      1 ~ ""American Indian or Alaska Native"",
      2 ~ ""Asian"",
      3 ~ ""Black or African American"",
      4 ~ ""Hispanic or Latino"",
      5 ~ ""Native Hawaiian or Other Pacific Islander"",
      6 ~ ""White"",
      7 ~ ""Multiple - Hispanic"",
      8 ~ ""Multiple - Non-Hispanic""
    ),
    recode_values(
      as.numeric(race_ethnicity_cdc),
      1 ~ ""American Indian or Alaska Native"",
      2 ~ ""Asian"",
      3 ~ ""Black or African American"",
      4 ~ ""Native Hawaiian or Other Pacific Islander"",
      5 ~ ""White"",
      6 ~ ""Hispanic or Latino"",
      7 ~ ""Multiple - Hispanic"",
      8 ~ ""Multiple - Non-Hispanic""
    ),
    ""Unknown""
  ),
  lookup_ethnicity,
  dataset_id = spec$dataset_id,
  target_variable = ""ethnicity"",
  default = ""Unknown""
)","CDC's derived race/ethnicity, eight categories coded differently in 1999-2005 (race_combined_pre2007) and 2007-2019 (raceeth); Hispanic origin takes priority over race. Proximate: race and Hispanic origin flattened to one axis; AI/AN and NH/PI have no schema equivalent and fall in Other.",ethnicity,
indigenous,partial,"race_combined_pre2007, race_ethnicity_cdc","case_when(
  race_combined_pre2007 %in% ""1"" | race_ethnicity_cdc %in% ""1"" ~ ""Indigenous"",
  !is.na(race_combined_pre2007) | !is.na(race_ethnicity_cdc) ~ ""Non-Indigenous"",
  .default = ""Unknown""
)","American Indian/Alaska Native alone = Indigenous. Under-counts: multi-race AI/AN is in the Multiple codes (Non-Indigenous); Native Hawaiians not separable from other Pacific Islanders. 2007+ multi-select race item not used, to keep one definition across waves.",,
minority,compatible,"race_combined_pre2007, race_ethnicity_cdc","case_when(
  race_combined_pre2007 %in% ""6"" | race_ethnicity_cdc %in% ""5"" ~ ""Non-minority"",
  !is.na(race_combined_pre2007) | !is.na(race_ethnicity_cdc) ~ ""Minority"",
  .default = ""Unknown""
)","Same CDC race/ethnicity codes as ethnicity: non-Hispanic White alone is the majority group; every other category, including Multiple - Non-Hispanic, is Minority.",,
immigrant_background,incompatible,english_proficiency,,"No birthplace item for student or parents. 'How well do you speak English?' (english_proficiency, 2015-2019) is language, not immigrant background.",,
born_in_country,unavailable,,,Not collected.,,
ses_area,unavailable,,,Not collected.,,
ses_household,unavailable,,,Not collected.,,
ses_household_measure,unavailable,,,See ses_household.,,
ses_hukou,unavailable,,,Hukou not asked.,,
maternal_education,unavailable,,,Not collected.,,
paternal_education,unavailable,,,Not collected.,,
parental_education,unavailable,,,Not collected.,,
urbanicity,proximate,metro_status,"recode_values(metro_status, 1 ~ ""Urban"", 2 ~ ""Suburban"", 3 ~ ""Rural"", default = ""Unknown"")","1999 and 2003 only: school's metropolitan status (metrost), not the student's residence; 1999's 0 = unknown -> Unknown. 2005-2019 files release no urbanicity variable, so Unknown.",,
family_structure,unavailable,,,Not collected.,,
fam_screenrules,unavailable,,,Not collected.,,
fam_bedroomscreen,unavailable,,,Not collected.,,
fam_parentstress,unavailable,,,Not collected.,,
fam_parentstress_measure,unavailable,,,See fam_parentstress.,,
