target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,participant_id,as.character(participant_id),Wave-prefixed running number (<year>_<OBS>) built in the tidier; not linkable across years (repeated cross-section).,,
wave,compatible,YEAR,as.character(YEAR),"Annual survey round, 2008-2025 (2005-2007 dropped in the tidier: no screen-time item); independent cross-sections, not repeated measures.",,
data_year,compatible,YEAR,as.numeric(YEAR),Survey year; matches the wave directory.,,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,compatible,W,as.numeric(W),"KYRBS sampling weight W for the wave, as released.",,
survey_strata,compatible,STRATA,as.character(STRATA),"Merged design stratum STRATA, the stratum the user guide prescribes for analysis; values already carry the survey-year prefix (e.g. 2008_108).",,
survey_cluster,compatible,cluster_id,cluster_id,"Primary sampling unit CLUSTER (the sampled school), prefixed with the survey year in the tidier.",,
age_years,compatible,"AGE_M, AGE","coalesce(as.numeric(AGE_M) / 12, as.numeric(AGE) + 0.5)",AGE_M (age in completed months) / 12; AGE (completed years) + 0.5 where AGE_M is missing (no such rows from 2008).,,
sex,compatible,SEX,"recode_values(as.numeric(SEX), 1 ~ ""Male"", 2 ~ ""Female"", default = ""Unknown"")","Coded 1/2; direction (male/female) inferred from height and weight, not labelled in source.",,
country,inferred,,"""South Korea""",Nationally representative sample of Korean middle and high school students.,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,incompatible,"E_KRN_F, E_KRN_M, E_BORN_F, E_BORN_M",,"Parental birthplace only (parent born in Korea; parent's country of birth, with free text), 2011-2025; no ethnicity or race item.",,
indigenous,unavailable,,,No indigenous-status item; not applicable in the Korean context.,,
minority,incompatible,"E_KRN_F, E_KRN_M",,"Parental birthplace only and the child's birthplace is not asked, so immigrant_background yields only Native or Unknown and no Minority value can be assigned.",,
immigrant_background,incompatible,"E_KRN_F, E_KRN_M",,"Parental birthplace only (2011-2025); the child's is not asked, so only Native or Unknown can be assigned.",,
born_in_country,unavailable,,,Not collected.,,
ses_area,unavailable,,,"CITY/CTYPE/STRATA identify province and settlement size for sampling, not area-level SES.",,
ses_household,proximate,E_SES,"recode_values(as.numeric(E_SES), c(1, 2) ~ ""High"", 3 ~ ""Medium"", c(4, 5) ~ ""Low"", default = ""Unknown"")","Self-rated family economic standing, 5-point (high / upper-middle / middle / lower-middle / low), cut at the labelled anchors: 1-2 High, 3 Medium, 4-5 Low. Proximate: subjective standing, not income or assets.",,
ses_household_measure,inferred,E_SES,"""Subjective standing: family economic standing (5-point)""","E_SES, asked in every wave.",,
ses_hukou,unavailable,,,Not a Chinese dataset.,,
