target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,Serial,as.character(Serial),Assume Serial is the participant ID,,
wave,unavailable,,,Cross-sectional study,,
data_year,inferred,,2016,Inferred from 10.1177/0956797616678438,,
rct_arm,unavailable,,,Observational survey.,,
survey_weight,in_progress,,,,,
survey_strata,in_progress,,,,,
survey_cluster,in_progress,,,,,
age_years,inferred,,15,Not in dataset; described in recruitment (10.1177/0956797616678438).,,
sex,compatible,Genderg,"recode_values(haven::as_factor(Genderg), ""Female or unknown"" ~ ""Female"", ""Male"" ~ ""Male"")",'Female or unknown' mapped to Female.,,
country,inferred,,"""England""",Described in recruitment of 10.1177/0956797616678438,,
state,unavailable,,,,,
ethnicity,compatible,Ethnicg,"lookup_values(haven::as_factor(Ethnicg), lookup_ethnicity, dataset_id = spec$dataset_id, target_variable = ""ethnicity"")",Via shared lookups/ethnicity.csv.,ethnicity,
indigenous,unavailable,,,,,
minority,compatible,minority,"recode_values(minority, 0 ~ ""Non-minority"", 1 ~ ""Minority"", )",,,
immigrant_background,unavailable,,,Not in the supplied file.,,
born_in_country,in_progress,,,,,
ses_area,compatible,IMD3,"recode_values(IMD3, 1 ~ ""Low"", 2 ~ ""Medium"", 3 ~ ""High"")",,,
ses_household,unavailable,,,,,
ses_household_measure,unavailable,,,,,
ses_hukou,unavailable,,,Not a Chinese dataset.,,
maternal_education,unavailable,,,,,
paternal_education,unavailable,,,,,
parental_education,unavailable,,,,,
urbanicity,incompatible,,,"Only LA-level classifications (ONS cluster groups, GOR region), not the participant's urban/rural residence.",,
family_structure,unavailable,,,,,
fam_screenrules,in_progress,,,,,
fam_bedroomscreen,in_progress,,,,,
fam_parentstress,in_progress,,,,,
fam_parentstress_measure,in_progress,,,,,
school_grade,unavailable,,,Not recorded.,,
st_measure_type,inferred,,"""Categorical""","Categorical, but bands align to time values (e.g. ""about an hour"").",,
st_measure_name,inferred,,"""Unknown/custom""",None provided,,
st_responder,inferred,,"""Self""",WAY 2014 postal/online self-completion questionnaire.,,
st_total_wd,incompatible,,,"Watching, gaming, computer and smartphone items overlap; not summed (DR-0002). File's weekday_screen sum not used.",,
st_total_we,incompatible,,,See st_total_wd. File's weekend_screen sum not used.,,
st_total,incompatible,,,See st_total_wd.,,
st_watch_wd,compatible,watch_wd,watch_wd,,,
st_watch_we,compatible,watch_we,watch_we,,,
st_watch,compatible,"watch_wd, watch_we",((watch_wd * 5) + (watch_we * 2)) / 7,,,
st_game_wd,compatible,play_wd,play_wd,,,
st_game_we,compatible,play_we,play_we,,,
st_game,compatible,"play_wd, play_we",((play_wd * 5) + (play_we * 2)) / 7,,,
st_game_comp_wd,unavailable,,,,,
st_game_comp_we,unavailable,,,,,
st_game_comp,unavailable,,,,,
st_game_console_wd,unavailable,,,,,
st_game_console_we,unavailable,,,,,
st_game_console,unavailable,,,,,
st_game_handheldconsole_wd,unavailable,,,,,
st_game_handheldconsole_we,unavailable,,,,,
st_game_handheldconsole,unavailable,,,,,
st_game_active_wd,unavailable,,,,,
st_game_active_we,unavailable,,,,,
st_game_active,unavailable,,,,,
st_game_phone_wd,unavailable,,,,,
st_game_phone_we,unavailable,,,,,
st_game_phone,unavailable,,,,,
st_game_tablet_wd,unavailable,,,No tablet-specific gaming item.,,
st_game_tablet_we,unavailable,,,See st_game_tablet_wd.,,
st_game_tablet,unavailable,,,See st_game_tablet_wd.,,
st_comp_nongaming_wd,unavailable,,,,,
st_comp_nongaming_we,unavailable,,,,,
st_comp_nongaming,unavailable,,,,,
st_comp_wd,compatible,comp_wd,comp_wd,,,
st_comp_we,compatible,comp_we,comp_we,,,
st_comp,compatible,"comp_wd, comp_we",((comp_wd * 5) + (comp_we * 2)) / 7,,,
st_tablet_wd,unavailable,,,,,
st_tablet_we,unavailable,,,,,
st_tablet,unavailable,,,,,
st_phone_wd,compatible,sp_wd,sp_wd,,,
st_phone_we,compatible,sp_we,sp_we,,,
st_phone,compatible,"sp_wd, sp_we",((sp_wd * 5) + (sp_we * 2)) / 7,,,
st_socmedia_wd,unavailable,,,Only device-based smartphone/computer items; schema bars deriving social media from these.,,
st_socmedia_we,unavailable,,,See st_socmedia_wd.,,
st_socmedia,unavailable,,,See st_socmedia_wd.,,
st_educational_wd,incompatible,,,"Comphwk/Comphwe combine homework and communicating, computer only; educational use not separable.",,
st_educational_we,incompatible,,,See st_educational_wd.,,
st_educational,incompatible,,,See st_educational_wd.,,
st_work_wd,unavailable,,,Not collected.,,
st_work_we,unavailable,,,Not collected.,,
st_work,unavailable,,,Not collected.,,
st_internet_wd,unavailable,,,No generic internet item; device items mapped to st_watch/st_game/st_comp/st_phone.,,
st_internet_we,unavailable,,,See st_internet_wd.,,
st_internet,unavailable,,,See st_internet_wd.,,
st_videochat,incompatible,"Comphwk, Comphwe",,See st_messaging_wd.,,
st_messaging_wd,incompatible,Comphwk,,Only within Comphwk (computer time for communicating or homework); not separable.,,
st_messaging_we,incompatible,Comphwe,,See st_messaging_wd (Comphwe).,,
st_messaging,incompatible,"Comphwk, Comphwe",,See st_messaging_wd.,,
st_creating,unavailable,,,Not collected.,,
st_email,incompatible,"Comphwk, Comphwe",,See st_messaging_wd.,,
st_shopping,unavailable,,,Not collected.,,
st_total_school,unavailable,,,No school-context screen items; time is asked for the whole day.,,
st_educational_school,unavailable,,,See st_total_school.,,
st_comp_school,unavailable,,,See st_total_school.,,
st_tablet_school,unavailable,,,See st_total_school.,,
st_internet_school,unavailable,,,See st_total_school.,,
st_phone_school,unavailable,,,See st_total_school.,,
acc_academachment_selfrated,unavailable,,,,,
acc_academachment_lettergrades,unavailable,,,Not in the supplied file.,,
acc_academachment_stdtest,unavailable,,,Not in the supplied file.,,
acc_schoolengage_caresschool,unavailable,,,Not in the supplied file.,,
acc_schoolengage_homework,unavailable,,,Not in the supplied file.,,
acc_schoolpressure_self,in_progress,,,,,
acc_schoolbelonging_self,in_progress,,,,,
acc_schoolbelonging_measure,in_progress,,,,,
acc_academachment_numgrades,unavailable,,,,,
