target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,pidp,"sprintf(""%.0f"", as.numeric(pidp))","Cross-wave person id, shared across BHPS and UKHLS. Formatted without scientific notation.",,
wave,compatible,"survey, wave","if_else(
  survey == ""BHPS"",
  paste0(""BHPS wave "", match(substring(wave, 2), letters)),
  paste0(""UKHLS wave "", match(wave, letters))
)","File prefix: bd-br = BHPS waves 4-18 (1994-2008), a-o = UKHLS waves 1-15 (2009-2025). Survey included so BHPS/UKHLS wave 4 don't collide.",,
data_year,compatible,"intdaty_dv, intdatey, survey, wave","coalesce(
  as.numeric(intdaty_dv),
  as.numeric(intdatey),
  if_else(survey == ""BHPS"", 1990 + match(substring(wave, 2), letters), NA_real_)
)","UKHLS: youth interview year (intdaty_dv). BHPS: household interview year (hhresp intdatey), joined in the tidier; 3 BHPS rows without one take the wave's modal fieldwork year (1990 + wave number). UKHLS fieldwork spans about two years per wave, so data_year varies within a wave.",,
rct_arm,unavailable,,,Not a trial.,,
survey_weight,compatible,"ythscus_xw, ythscub_xw, ythscui_xw, ythscg2_xw, ypwght","coalesce(ythscus_xw, ythscub_xw, ythscui_xw, ythscg2_xw, ypwght)","UKHLS cross-sectional youth interview weight for the wave's sample component (ythscus_xw GPS+EMB, ythscub_xw combined general population, ythscui_xw BHPS+UKHLS+IEMB, ythscg2_xw GPS2) or the BHPS youth weight (ypwght). Exactly one is non-missing per row (0 missing overall).",,
survey_strata,compatible,strata,"if_else(as.numeric(strata) > 0, as.character(strata), NA_character_)","UKHLS youth files carry strata directly; BHPS rows take it from the household sample-design file (b*_hhsamp), coded on the same UKHLS scheme. Unlabelled -9 (no stratum assigned; 731 BHPS rows, waves 8-11) is NA. Codes are stable across waves in this panel, so not wave-prefixed.",,
survey_cluster,compatible,psu,"if_else(as.numeric(psu) > 0, as.character(psu), NA_character_)","UKHLS youth files carry psu directly; BHPS rows take it from the household sample-design file (b*_hhsamp), coded on the same UKHLS scheme. Unlabelled -9 (no PSU assigned; 731 BHPS rows, waves 8-11) is NA. Codes are stable across waves in this panel, so not wave-prefixed.",,
age_years,compatible,"dvage, age_dv, age","coalesce(as.numeric(dvage), as.numeric(age_dv), as.numeric(age)) + 0.5","Completed years at interview + 0.5 (no birth month in the release). UKHLS: dvage, falling back to age_dv. BHPS: age at interview from the household roster (indall), joined in the tidier. Ages 10-16.",,
sex,compatible,"sex_dv, ypsex","recode_values(coalesce(na_if(as.numeric(sex_dv), 0), as.numeric(ypsex)), 1 ~ ""Male"", 2 ~ ""Female"", default = ""Unknown"")",UKHLS: sex_dv; its inconsistent cases (code 0) fall back to the youth's own report. BHPS: youth's own report (ypsex).,,
country,compatible,"country, gor_dv","coalesce(
  recode_values(as.numeric(country), 1 ~ ""England"", 2 ~ ""Wales"", 3 ~ ""Scotland"", 4 ~ ""Northern Ireland""),
  recode_values(
    as.numeric(gor_dv),
    1:9 ~ ""England"",
    10 ~ ""Wales"",
    11 ~ ""Scotland"",
    12 ~ ""Northern Ireland"",
    default = ""Unknown""
  )
)",UKHLS: country of residence from the youth file. BHPS: household Government Office Region (gor_dv); its nine English regions become England.,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,compatible,ethn_dv,"coalesce(
  lookup_values(
    haven::as_factor(ethn_dv),
    lookup_ethnicity,
    dataset_id = spec$dataset_id,
    target_variable = ""ethnicity""
  ),
  ""Unknown""
)","Study-derived ethnic group (ethn_dv), UK census categories via lookups/ethnicity.csv. UKHLS from the youth file; BHPS from the cross-wave person file (xwavedat), joined on pidp.",ethnicity,
indigenous,unavailable,,,Not collected (UK sample).,,
minority,compatible,ethn_dv,"case_when(
  as.numeric(ethn_dv) %in% c(1, 2, 4) ~ ""Non-minority"",
  as.numeric(ethn_dv) %in% c(3, 5:17, 97) ~ ""Minority"",
  .default = ""Unknown""
)",From ethn_dv. British/Irish/other White = non-minority; Gypsy/Irish Traveller and all other groups = minority.,,
