target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,hhid,as.character(hhid),"Census household ID; one child sampled per household, unique across all eight annual files.",,
wave,compatible,year,as.character(year),Repeated cross-section (new sample each year); wave = survey year.,,
data_year,compatible,year,as.numeric(year),"Survey year, 2016-2023",,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,compatible,fwc,as.numeric(fwc),"FWC: selected-child weight released with each annual file, not rescaled.",,
survey_strata,compatible,"year, fipsst, stratum","paste(year, fipsst, stratum, sep = ""_"")","State (FIPSST) by STRATUM, the NSCH variance strata, prefixed with the survey year.",,
survey_cluster,compatible,hhid,"sprintf(""%.0f"", as.numeric(hhid))",HHID: the household is the NSCH sampling unit (one sampled child per household); IDs are unique across years.,,
age_years,compatible,sc_age_years,as.numeric(sc_age_years) + 0.5,"Caregiver-reported age of the sampled child in completed years (0-17), + 0.5.",,
sex,compatible,sc_sex,"recode_values(as.numeric(sc_sex), 1 ~ ""Male"", 2 ~ ""Female"", default = ""Unknown"")",Caregiver-reported sex of the sampled child.,,
country,inferred,,"""USA""",Nationally representative US survey (50 states and DC).,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,proximate,"sc_hispanic_r, sc_race_r","lookup_values(
  case_when(
    as.numeric(sc_hispanic_r) == 1 ~ ""Hispanic"",
    as.numeric(sc_race_r) == 1 ~ ""White alone, non-Hispanic"",
    as.numeric(sc_race_r) == 2 ~ ""Black or African American alone, non-Hispanic"",
    as.numeric(sc_race_r) == 3 ~ ""American Indian or Alaska Native alone, non-Hispanic"",
    as.numeric(sc_race_r) == 4 ~ ""Asian alone, non-Hispanic"",
    as.numeric(sc_race_r) == 5 ~ ""Native Hawaiian or Other Pacific Islander alone, non-Hispanic"",
    as.numeric(sc_race_r) == 6 ~ ""Some other race alone, non-Hispanic"",
    as.numeric(sc_race_r) == 7 ~ ""Two or more races, non-Hispanic"",
    .default = ""Unknown""
  ),
  lookup_ethnicity,
  dataset_id = spec$dataset_id,
  target_variable = ""ethnicity"",
  default = ""Unknown""
)","SC_HISPANIC_R taken ahead of SC_RACE_R (race-alone), matching DRC's race7 derivation but also covering 2016, where DRC published none. Proximate: flattens two Census axes into one; AIAN and NHPI have no schema equivalent and land in Other. lookups/ethnicity.csv.",ethnicity,
indigenous,partial,sc_race_r,"recode_values(as.numeric(sc_race_r), 3 ~ ""Indigenous"", c(1, 2, 4, 5, 6, 7) ~ ""Non-Indigenous"", default = ""Unknown"")","AIAN-alone = Indigenous. Under-counts AIAN-in-combination (falls in Two-or-more) and Native Hawaiians (inside combined NHPI). SC_AIAN (alone-or-combination) exists from 2020 only; not used, to keep one definition across waves.",,
minority,compatible,race4_nschyr,"recode_values(as.numeric(race4_nschyr), 2 ~ ""Non-minority"", c(1, 3, 4) ~ ""Minority"", default = ""Unknown"")",DRC race/ethnicity variable (SC_RACE_R x SC_HISPANIC_R). Non-Hispanic White = majority; everyone else = minority.,,
immigrant_background,partial,"bornusa, a1_relation, a1_born, a2_relation, a2_born","local({
  p1 <- if_else(as.numeric(a1_relation) %in% c(1, 2, 4), as.numeric(a1_born), NA_real_)
  p2 <- if_else(as.numeric(a2_relation) %in% c(1, 2, 4), as.numeric(a2_born), NA_real_)
  abroad <- p1 %in% 2 | p2 %in% 2
  case_when(
    p1 %in% 1 | p2 %in% 1 ~ ""Native"",
    abroad & as.numeric(bornusa) == 1 ~ ""Second-generation"",
    abroad & as.numeric(bornusa) == 2 ~ ""First-generation"",
    .default = ""Unknown""
  )
})","Child's and parents' US birth (BORNUSA, A#_BORN; parents = A#_RELATION 1/2/4). Native if either parent US-born, else by child's birthplace. Partial: only the two listed household caregivers count, so a parent outside the household is never observed.",,
born_in_country,compatible,bornusa,"recode_values(as.numeric(bornusa), 1 ~ ""Yes"", 2 ~ ""No"", default = ""Unknown"")","BORNUSA: 'Was this child born in the United States?', caregiver-reported, all waves. Code 99 and blanks Unknown.",,
ses_area,unavailable,,,Not collected.,,
ses_household,proximate,povlev4_nschyr,"lookup_values(
  recode_values(
    as.numeric(povlev4_nschyr),
    1 ~ ""0-99% FPL"",
    2 ~ ""100-199% FPL"",
    3 ~ ""200-399% FPL"",
    4 ~ ""400% FPL or greater"",
    default = ""Unknown""
  ),
  lookup_ses_household,
  dataset_id = spec$dataset_id,
  target_variable = ""ses_household"",
  default = ""Unknown""
)","POVLEV4_NSCHYR: DRC's 4 bands of Census-imputed household income as % of the federal poverty level. Bands placed by within-wave ridit: 0-99% and 100-199% FPL Low (ridit 0.05-0.21), 200-399% Medium (0.41-0.45), 400% or more High (0.78-0.80); the lookup equals this cut in every wave. Proximate: Low holds 26-30% and Medium 29-32% per wave, outside 10 points of 40/20/40. lookups/ses_household.csv.",ses_household,
ses_household_measure,inferred,,"""Income-to-needs: income as % of federal poverty level (4 bands)""","POVLEV4_NSCHYR (Census-imputed income relative to the federal poverty guidelines), all waves.",,
ses_hukou,unavailable,,,Hukou not asked.,,
maternal_education,compatible,"a1_relation, a1_sex, a1_grade, a2_relation, a2_sex, a2_grade","lookup_values(
  recode_values(
    case_when(
      as.numeric(a1_relation) %in% c(1, 2, 4) & as.numeric(a1_sex) == 2 ~ as.numeric(a1_grade),
      as.numeric(a2_relation) %in% c(1, 2, 4) & as.numeric(a2_sex) == 2 ~ as.numeric(a2_grade)
    ),
    c(1, 2) ~ ""Less than high school"",
    3 ~ ""High school or GED"",
    4 ~ ""Vocational, trade or business school"",
    c(5, 6) ~ ""Some college or technical school"",
    c(7, 8, 9) ~ ""College degree or higher"",
    default = ""Mother not identified or education not reported""
  ),
  lookup_maternal_education,
  dataset_id = spec$dataset_id,
  target_variable = ""maternal_education""
)","Schooling of the caregiver meeting DRC's mother definition (A#_RELATION 1/2/4, A#_SEX = 2), Adult 1 first when both are mothers (DRC mother1/mother2 logic). A#_GRADE grouped as in DRC's HIGRADE_TVIS, except code 4 (completed a vocational, trade or business school program), which goes to Post-secondary rather than high school; A1_GRADE Census-imputed where missing. lookups/maternal_education.csv.",maternal_education,
paternal_education,compatible,"a1_relation, a1_sex, a1_grade, a2_relation, a2_sex, a2_grade","lookup_values(
  recode_values(
    case_when(
      as.numeric(a1_relation) %in% c(1, 2, 4) & as.numeric(a1_sex) == 1 ~ as.numeric(a1_grade),
      as.numeric(a2_relation) %in% c(1, 2, 4) & as.numeric(a2_sex) == 1 ~ as.numeric(a2_grade)
    ),
    c(1, 2) ~ ""Less than high school"",
    3 ~ ""High school or GED"",
    4 ~ ""Vocational, trade or business school"",
    c(5, 6) ~ ""Some college or technical school"",
    c(7, 8, 9) ~ ""College degree or higher"",
    default = ""Unknown""
  ),
  lookup_maternal_education,
  dataset_id = spec$dataset_id,
  target_variable = ""maternal_education"",
  default = ""Unknown""
)","Schooling of the caregiver meeting DRC's father definition (A#_RELATION 1/2/4, A#_SEX = 1), Adult 1 first. A#_GRADE grouped as in DRC's HIGRADE_TVIS, except code 4 (completed a vocational, trade or business school program), which goes to Post-secondary rather than high school and mapped through lookups/maternal_education.csv. Unknown is mostly households with no father figure.",maternal_education,
