target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,pid,as.character(pid),"CFPS person ID, stable across waves.",,
wave,compatible,wave,wave,CFPS survey year. 2012 omitted (no screen-use item).,,
data_year,compatible,"interview_year_self, interview_year_parent, wave, tv_wd_hours_self, tv_we_hours_self, tv_week_hours_self, internet_wd_hours_self, internet_we_hours_self, internet_day_hours_self, internet_week_hours_self, internet_mobile_day_mins_self, internet_pc_day_mins_self, learning_online_day_mins_self, internet_any_self, internet_mobile_user, internet_pc_user, learning_online_user_self","local({
  self <- rowSums(
    !is.na(cbind(
      tv_wd_hours_self,
      tv_we_hours_self,
      tv_week_hours_self,
      internet_wd_hours_self,
      internet_we_hours_self,
      internet_day_hours_self,
      internet_week_hours_self,
      internet_mobile_day_mins_self,
      internet_pc_day_mins_self,
      learning_online_day_mins_self,
      internet_any_self,
      internet_mobile_user,
      internet_pc_user,
      learning_online_user_self
    ))
  ) >
    0
  year <- if_else(
    self,
    coalesce(as.numeric(interview_year_self), as.numeric(interview_year_parent)),
    coalesce(as.numeric(interview_year_parent), as.numeric(interview_year_self))
  )
  coalesce(year, as.numeric(wave))
})","Interview year of the questionnaire that supplied the row's screen items (self-report, else proxy), so 2011, 2015, 2017 and 2019 hold spill-over interviews; missing dates take the survey year.",,
rct_arm,unavailable,,,"Observational panel, not a trial.",,
survey_weight,compatible,weight_cross,as.numeric(weight_cross),"CFPS cross-sectional individual weight as released: 2010 national-sample weight (rswt_nat), 2014-2016 rswt_natcs, 2018-2022 the standardised rswt_natcs*n (mean about 1); NA for respondents without a weight.",,
survey_strata,compatible,"subpopulation, wave","if_else(is.na(subpopulation), NA_character_, paste0(wave, ""-"", as.numeric(subpopulation)))","Sampling subpopulation (Shanghai, Liaoning, Henan, Gansu, Guangdong oversamples and the other provinces), the design's six independent sampling frames; 2014 releases the 2010 assignment. Prefixed with the wave.",,
survey_cluster,compatible,"psu, pid, wave","local({
  unit <- carry_within(as.numeric(psu), pid, as.numeric(wave))
  if_else(is.na(unit), NA_character_, paste0(wave, ""-"", unit))
})","CFPS primary sampling unit (county-level, fixed by the original sample). 2014 and 2016 do not release it, so they take the participant's value from another wave. Prefixed with the wave.",,
age_years,compatible,"interview_year_self, interview_month_self, interview_year_parent, interview_month_parent, birth_year, birth_month, age_reported, tv_wd_hours_self, tv_we_hours_self, tv_week_hours_self, internet_wd_hours_self, internet_we_hours_self, internet_day_hours_self, internet_week_hours_self, internet_mobile_day_mins_self, internet_pc_day_mins_self, learning_online_day_mins_self, internet_any_self, internet_mobile_user, internet_pc_user, learning_online_user_self","local({
  self <- rowSums(
    !is.na(cbind(
      tv_wd_hours_self,
      tv_we_hours_self,
      tv_week_hours_self,
      internet_wd_hours_self,
      internet_we_hours_self,
      internet_day_hours_self,
      internet_week_hours_self,
      internet_mobile_day_mins_self,
      internet_pc_day_mins_self,
      learning_online_day_mins_self,
      internet_any_self,
      internet_mobile_user,
      internet_pc_user,
      learning_online_user_self
    ))
  ) >
    0
  year <- if_else(
    self,
    coalesce(as.numeric(interview_year_self), as.numeric(interview_year_parent)),
    coalesce(as.numeric(interview_year_parent), as.numeric(interview_year_self))
  )
  month <- if_else(
    self,
    coalesce(as.numeric(interview_month_self), as.numeric(interview_month_parent)),
    coalesce(as.numeric(interview_month_parent), as.numeric(interview_month_self))
  )
  interview <- year + (if_else(month %in% 1:12, month, NA_real_) - 0.5) / 12
  born_month <- if_else(as.numeric(birth_month) %in% 1:12, as.numeric(birth_month), NA_real_)
  derived <- coalesce(
    interview - (as.numeric(birth_year) + (born_month - 0.5) / 12),
    interview - (as.numeric(birth_year) + 0.5)
  )
  reported <- as.numeric(age_reported)
  if_else(!is.na(derived) & derived >= 0 & abs(derived - reported) < 2, derived, reported)
})","Decimal age from the screen questionnaire's interview year and month and the roster birth year and month (mid-month; mid-year if no month). CFPS cleaned age (survey year minus birth year) where the roster birth year is missing, gives a negative age or is 2+ years off it (about 90 rows).",,
sex,compatible,"sex, pid","coalesce(modal_within(recode_values(as.numeric(sex), 1 ~ ""Male"", 0 ~ ""Female""), pid), ""Unknown"")",Family roster sex (tb2). Each participant's modal value across waves; ties (participants recorded with both sexes equally often) are Unknown.,,
country,inferred,,"""China""",CFPS samples 25 mainland provinces and municipalities.,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,incompatible,ethnicity_code,,minzu is China's ethnic-nationality classification and nearly all groups would map to Asian; it is used for minority.,,
indigenous,unavailable,,,No indigenous classification in China; ethnic nationality mapped under minority.,,
minority,compatible,"ethnicity_code, pid, wave","local({
  code <- carry_within(as.numeric(ethnicity_code), pid, as.numeric(wave))
  case_when(is.na(code) ~ ""Unknown"", code == 1 ~ ""Non-minority"", .default = ""Minority"")
})","Minzu (ethnic nationality, GB code): 1 = Han (Non-minority), the other 55 = Minority. Waves without a code take the earliest observed code.",,
immigrant_background,incompatible,birth_province,,"Participant birthplace only (province, 2010); parents' birthplace is in their own adult records and is not linked.",,
born_in_country,proximate,"birth_province, birth_address_2014, birth_address, pid, wave","local({
  a14 <- as.numeric(birth_address_2014)
  a18 <- as.numeric(birth_address)
  born <- case_when(
    !is.na(birth_province) ~ ""Yes"",
    a14 %in% 1:5 | a18 %in% 0:6 ~ ""Yes"",
    a14 == 6 | a18 == 7 ~ ""No"",
    .default = NA_character_
  )
  coalesce(carry_within(born, pid, as.numeric(wave)), ""Unknown"")
})","Birth province (2010) and family address at birth (2014-2022, asked of new respondents), carried within participant. 'Outside mainland China' pools Hong Kong, Macau and Taiwan with abroad and maps to No; invalid codes (online store, no fixed workplace) are Unknown.",,
ses_area,unavailable,,,No area-level deprivation index.,,
ses_household,compatible,"household_income_pc, wave","local({
  low <- stats::ave(household_income_pc, wave, FUN = function(x) stats::quantile(x, 0.4, na.rm = TRUE))
  high <- stats::ave(household_income_pc, wave, FUN = function(x) stats::quantile(x, 0.6, na.rm = TRUE))
  case_when(
    is.na(household_income_pc) ~ ""Unknown"",
    household_income_pc <= low ~ ""Low"",
    household_income_pc <= high ~ ""Medium"",
    .default = ""High""
  )
})","Net annual household income per capita, cut 40/20/40 within wave (household SES cuts); 40/20/40 in every wave.",,
ses_household_measure,inferred,,"""Income: net household income per capita""",See ses_household.,,
ses_hukou,compatible,hukou,"recode_values(
  as.numeric(hukou),
  1 ~ ""Agricultural"",
  3 ~ ""Non-agricultural"",
  7 ~ ""Residence"",
  5 ~ ""None"",
  default = ""Unknown""
)","Household registration type: 2010 from the child and adult questionnaires, 2014-2022 from the family roster. Non-Chinese nationality falls to Unknown.",,
maternal_education,compatible,education_mother,"lookup_values(
  recode_values(
    as.numeric(education_mother),
    1 ~ ""Illiterate/Semi-literate"",
    2 ~ ""Primary school"",
    3 ~ ""Junior high school"",
    4 ~ ""Senior high school"",
    5 ~ ""3-year college"",
    6 ~ ""4-year college"",
    7 ~ ""Masters degree"",
    8 ~ ""Doctoral degree"",
    default = ""Unknown""
  ),
  lookup_maternal_education,
  dataset_id = spec$dataset_id,
  target_variable = ""maternal_education""
)",Family roster item tb4 for the mother. Codes 0 and 9 are non-responses and fall to Unknown.,maternal_education,
paternal_education,compatible,education_father,"lookup_values(
  recode_values(
    as.numeric(education_father),
    1 ~ ""Illiterate/Semi-literate"",
    2 ~ ""Primary school"",
    3 ~ ""Junior high school"",
    4 ~ ""Senior high school"",
    5 ~ ""3-year college"",
    6 ~ ""4-year college"",
    7 ~ ""Masters degree"",
    8 ~ ""Doctoral degree"",
    default = ""Unknown""
  ),
  lookup_maternal_education,
  dataset_id = spec$dataset_id,
  target_variable = ""maternal_education""
)","Family roster item tb4 for the father, through the shared education lookup. Codes 0 and 9 are non-responses and fall to Unknown.",maternal_education,
