target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,inferred,participant_id,participant_id,"<survey year>_<uniqueid> built in the tidier; 6,695 rows of the 2002 survey have no uniqueid and take a row counter (<year>_<country>_r<n>). Unique across surveys; no one appears in two surveys.",,
wave,compatible,surveyyear,surveyyear,HBSC wave year; not necessarily year of collection.,,
data_year,compatible,"yearcollect, surveyyear","if_else(!is.na(yearcollect), yearcollect, surveyyear)","Year of collection (yearcollect); the survey year, which is the modal fieldwork year, where missing (4,711 rows in 2006, 9 in 2010). Surveys span years (2002: 2001-2002; 2010: 2009-2011; 2014: 2013-2015).",,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,compatible,sampleweights,sampleweights,"HBSC 'weight of dataset' (sampleweights; M137 in 2014), as released, all waves; 55 rows of 2014 missing.",,
survey_strata,partial,"surveyyear, countryno, subregion, id1","local({
  region <- if_else(surveyyear == 2014, id1, subregion)
  paste(surveyyear, countryno, coalesce(as.character(region), ""all""), sep = ""_"")
})","Survey year, country and region (subregion 2002-2010, labelled 'Stratum' in 2010; id1 region/municipality in 2014); country-wave only where no region is released (most 2002 countries, 146 rows of 2014). Other national stratifiers are not released.",,
survey_cluster,partial,"surveyyear, countryno, cluster, schoolno, id1, id2","local({
  unit <- na_if(case_when(surveyyear == 2006 ~ cluster, surveyyear == 2014 ~ id2, .default = schoolno), 0)
  region <- if_else(surveyyear == 2014, id1, 0)
  if_else(is.na(unit) | is.na(region), NA_character_, paste(surveyyear, countryno, region, unit, sep = ""_""))
})","2006: the released class/school cluster variable (cluster); 2002 and 2010: school (schoolno); 2014: school within region (id2 within id1). The PSU was the class in some countries, so school clusters there are conservative. NA where no school is recorded (6,694 rows of 2002, 816 of 2010 coded 0, 330 of 2014).",,
age_years,compatible,age,age,"Decimal age derived by HBSC, all waves.",,
sex,compatible,sex,"recode_values(sex, 1 ~ ""Male"", 2 ~ ""Female"", default = ""Unknown"")","'Are you a boy or a girl?', self-report, all waves.",,
country,compatible,countryno,"coalesce(lookup_values(countryno, lookup_country, default = ""Unknown""), ""Unknown"")","HBSC country code (countryno) through the dataset lookup; England, Scotland and Wales are separate samples; Belgium's Flemish and French samples (56001, 56002) map to Belgium.",country,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,incompatible,"m133, m134, m135",,"2014 birthplace items (m133, m134, m135) only, mapped to immigrant_background; no ethnic-group item.",,
indigenous,unavailable,,,Not collected.,,
minority,proximate,"m133, m134, m135","local({
  child <- as.numeric(m133)
  parents <- cbind(as.numeric(m134), as.numeric(m135))
  native_parent <- rowSums(parents == 1, na.rm = TRUE) > 0
  known <- rowSums(!is.na(parents)) > 0
  case_when(native_parent ~ ""Non-minority"", known & child %in% 1:6 ~ ""Minority"", .default = ""Unknown"")
})","2014 only (optional birthplace items). No ethnicity item: immigrant_background against the country of collection, First- or Second-generation -> Minority, Native -> Non-minority, else Unknown.",,
immigrant_background,compatible,"m133, m134, m135","local({
  child <- as.numeric(m133)
  parents <- cbind(as.numeric(m134), as.numeric(m135))
  native_parent <- rowSums(parents == 1, na.rm = TRUE) > 0
  known <- rowSums(!is.na(parents)) > 0
  case_when(
    native_parent ~ ""Native"",
    known & child == 1 ~ ""Second-generation"",
    known & child %in% 2:6 ~ ""First-generation"",
    .default = ""Unknown""
  )
})","2014 only, optional: birthplace of student and parents (in-country or abroad). Native if either parent born in-country; else generation by student's birthplace (missing parent: other decides).",,
born_in_country,compatible,m133,"case_when(m133 == 1 ~ ""Yes"", m133 %in% 2:6 ~ ""No"", .default = ""Unknown"")","2014 only (optional item): 'In which country were you born?', resident country -> Yes, any other listed or other country -> No; Unknown elsewhere.",,
ses_area,unavailable,,,Not collected.,,
ses_household,compatible,"fas2_ridit, fas_ridit","case_when(
  is.na(coalesce(fas2_ridit, fas_ridit)) ~ ""Unknown"",
  coalesce(fas2_ridit, fas_ridit) < 0.4 ~ ""Low"",
  coalesce(fas2_ridit, fas_ridit) <= 0.6 ~ ""Medium"",
  .default = ""High""
)","FAS composite, ridit-scored within country and wave (tidier). Quintiles: Q1-2 Low, Q3 Medium, Q4-5 High.",,
ses_household_measure,inferred,surveyyear,"if_else(
  surveyyear == 2014,
  ""Affluence/assets: Family Affluence Scale (FAS III)"",
  ""Affluence/assets: Family Affluence Scale (FAS II)""
)",FAS II (4 items) in 2001-2010; FAS III (6 items) in 2014. Each wave carries only one scale's items.,,
ses_hukou,unavailable,,,Not a Chinese dataset.,,
maternal_education,unavailable,,,Not collected.,,
paternal_education,unavailable,,,Not collected.,,
parental_education,unavailable,,,Not collected.,,
urbanicity,unavailable,,,No urban/rural item; subregion is an administrative region code only.,,
family_structure,compatible,"motherhome1, fatherhome1, stepmohome1, stepfahome1","case_when(
  (na_if(motherhome1, 0) %in% 1) & (na_if(fatherhome1, 0) %in% 1) ~ ""Two biological/adoptive parents"",
  ((na_if(motherhome1, 0) %in% 1) | (na_if(fatherhome1, 0) %in% 1)) &
    ((na_if(stepmohome1, 0) %in% 1) | (na_if(stepfahome1, 0) %in% 1)) ~ ""Step family"",
  ((na_if(motherhome1, 0) %in% 1) + (na_if(fatherhome1, 0) %in% 1)) == 1 ~ ""Single parent"",
  is.na(na_if(motherhome1, 0)) &
    is.na(na_if(fatherhome1, 0)) &
    is.na(na_if(stepmohome1, 0)) &
    is.na(na_if(stepfahome1, 0)) ~ ""Unknown"",
  .default = ""Other""
)","Main-home roster (1=Yes, 2=No; 0 = 2001 missing code), all waves. Two biological/adoptive parents = mother and father (step-parent ignored); Step family = one parent plus a step-parent; Single parent = one parent, no step-parent; Unknown = all four items missing; else Other. Second-home items not used (inconsistently collected).",,
fam_screenrules,unavailable,,,Not collected.,,
fam_bedroomscreen,unavailable,,,Not collected.,,
fam_parentstress,unavailable,,,Not collected.,,
fam_parentstress_measure,unavailable,,,See fam_parentstress.,,
school_grade,incompatible,grade,,"grade codes the sampled age group (11/13/15), not year level.",,
st_measure_type,inferred,,"""Categorical""","Ordered duration bands (none, about half an hour, about 1 to 6 hours, about 7 or more hours a day), all waves.",,
st_measure_name,inferred,,"""Custom""","HBSC international questionnaire items (TV, gaming, computer use), not a standalone instrument.",,
st_responder,inferred,,"""Self""",Self-completed classroom questionnaire.,,
