target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,inferred,,as.character(seq_len(nrow(tbl))),"No identifier or timestamp; ids from row order, which the tidier preserves.",,
wave,unavailable,,,Single collection occasion.,,
data_year,inferred,,2022,"Not recorded. Companion paper (Pastor et al., Anales de Psicología 40(2), 2024, https://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-97282024000200011) reports academic year 2021-22; its mean age (16.19) is reproduced only by 2022 minus birth year, placing collection in Jan-Jun 2022.",,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,unavailable,,,Not a survey sample.,,
survey_strata,unavailable,,,Not a survey sample.,,
survey_cluster,unavailable,,,Not a survey sample.,,
age_years,partial,q1,"as.numeric(as.Date(""2022-03-31"") - as.Date(q1)) / 365.25","Date of birth (item 1) to an assumed reference date of 2022-03-31, the midpoint of Jan-Jun 2022 fieldwork (see data_year). EDAD not used: a worksheet formula giving age at the file's last save. 23 values above 19 kept (max 22.2).",,
sex,compatible,q2,"recode_values(as.numeric(q2), 1 ~ ""Female"", 2 ~ ""Male"", c(3, 4) ~ ""Other"", default = ""Unknown"")","Item 2, self-reported gender identity: 1 chica=Female, 2 chico=Male, 3 no binario/4 otro=Other. Code 5 undocumented (codebook lists 1-4); Unknown.",,
country,inferred,,"""Spain""",Not asked. Both project papers place the sample in Madrid schools.,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,unavailable,,,Not collected.,,
indigenous,unavailable,,,Not collected.,,
minority,unavailable,,,Not collected.,,
immigrant_background,unavailable,,,Not collected.,,
born_in_country,unavailable,,,Not collected.,,
ses_area,unavailable,,,Not collected.,,
ses_household,incompatible,q5,,"Item 5 is school funding type (público/concertado/privado), a school-level indicator that maps to neither SES row.",,
ses_household_measure,unavailable,,,See ses_household.,,
ses_hukou,unavailable,,,Hukou not asked.,,
maternal_education,unavailable,,,Not collected.,,
paternal_education,unavailable,,,Not collected.,,
parental_education,unavailable,,,Not collected.,,
urbanicity,unavailable,,,"Residence not recorded; 'Madrid' in the papers may mean region or city, so not inferred.",,
family_structure,unavailable,,,Not collected.,,
fam_screenrules,unavailable,,,Not collected.,,
fam_bedroomscreen,unavailable,,,Not collected.,,
fam_parentstress,unavailable,,,Not collected.,,
fam_parentstress_measure,unavailable,,,See fam_parentstress.,,
school_grade,compatible,q6,"recode_values(
  as.numeric(q6),
  1 ~ ""3ro ESO"",
  2 ~ ""4to ESO"",
  3 ~ ""1ro Bach"",
  4 ~ ""2do Bach"",
  5 ~ ""FP básica"",
  6 ~ ""FP grado medio"",
  7 ~ ""FP grado superior""
)","Item 6, codebook course labels. Codes 6-7 (FP grado medio/superior) unobserved.",,
st_measure_type,inferred,"q7_1, q7_2","""Categorical""",Hours per day in five ordinal bands.,,
st_measure_name,inferred,"q7_1, q7_2","""Custom""","Bespoke two-item block (items 7-8, weekday/weekend each); no published instrument.",,
st_responder,inferred,,"""Self""",Adolescent self-report; no parent or teacher file.,,
st_total_wd,incompatible,"q7_1, q8_1",,"Only social media (st_socmedia_wd) and messaging (st_messaging_wd) measured; DR-0002 bars summing overlapping broad categories, and the sum would omit TV, gaming and other use.",,
