target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,participant_id,as.character(participant_id),Built as arm-Participant_ID (source id repeats across arms: 19 shared). 17 baseline control ids get an occurrence suffix where one id covers two children.,,
wave,compatible,.wave,as.character(.wave),"Baseline=T0, Midline=T1 (post-intervention), Endline=T2 (6-month follow-up). PLUMS trial report (doi:10.3389/fpubh.2024.1367776).",,
data_year,inferred,.wave,"recode_values(as.character(.wave), ""Baseline"" ~ 2020, c(""Midline"", ""Endline"") ~ 2021)","Fieldwork dates from trial report: T0 Oct-Nov 2020 (COVID-delayed repeat of Dec 2019-Mar 2020), T1 Jan 2021, T2 Aug 2021. `today` holds export dates only. PLUMS trial report (doi:10.3389/fpubh.2024.1367776).",,
rct_arm,compatible,arm,"recode_values(arm, ""control"" ~ ""Control"", ""intervention"" ~ ""Intervention"")","Allocation recorded only by source sheet (tidier's `arm`). Open-label, 1:1 parallel-group trial.",,
age_years,partial,"dob, .wave","as.numeric(
  as.Date(recode_values(
    as.character(.wave),
    ""Baseline"" ~ ""2020-11-05"",
    ""Midline"" ~ ""2021-01-21"",
    ""Endline"" ~ ""2021-08-15""
  )) -
    dob
) /
  365.25","Age at each wave's fieldwork midpoint; own assessment date unrecorded. Source `Age` unusable: age at export date (`today`), constant across waves and ~2 y high in intervention sheets. `dob` parsed from 3 encodings. PLUMS trial report (doi:10.3389/fpubh.2024.1367776).",,
sex,compatible,Q5_Genderof_the_child,"recode_values(Q5_Genderof_the_child, 1 ~ ""Male"", 2 ~ ""Female"", 3 ~ ""Other"", default = ""Unknown"")","No value labels (Excel, no codebook); coding read off trial report (51.2%/50.6% boys by arm vs code 1 at 52.8% here). Code 3 (3 rows) -> Other. PLUMS trial report (doi:10.3389/fpubh.2024.1367776).",,
country,inferred,,"""India""",Recruited from PGIMER Chandigarh's field practice area (zone 3); country itself not recorded. PLUMS trial report (doi:10.3389/fpubh.2024.1367776).,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,incompatible,Q10_What_is_your_Religion,,"Records religion (Hindu/Sikh/Muslim/other), not ethnicity/race/ancestry; no dataschema level fits, and a constant 'Asian' would add no information.",,
indigenous,unavailable,,,"No indigenous, minority or migration-background item.",,
minority,unavailable,,,"No indigenous, minority or migration-background item.",,
immigrant_background,unavailable,,,"No indigenous, minority or migration-background item.",,
ses_area,proximate,Q7_What_is_your_place_of_residence,"recode_values(Q7_What_is_your_place_of_residence, 1 ~ ""High"", c(2, 3) ~ ""Low"", default = ""Unknown"")","Neighbourhood type, codes unlabelled: 1 (urban) High, 2-3 (resettlement colony/urbanised village) Low; Medium unused. Code 1 read as urban from median per capita income (Rs 10,000 vs Rs 3,600-3,750) and its 51.7% share of baseline control rows (50% urban reported). PLUMS trial report (doi:10.3389/fpubh.2024.1367776).",,
ses_household,compatible,Q16Per_capita_income,"case_when(
  as.numeric(Q16Per_capita_income) <= 4420 ~ ""Low"",
  as.numeric(Q16Per_capita_income) <= 9200 ~ ""Medium"",
  as.numeric(Q16Per_capita_income) > 9200 ~ ""High"",
  .default = ""Unknown""
)","Monthly per capita income (Rs), within-sample quintiles over the 309 participants (value constant across waves): Low <=4,420, Medium <=9,200, High >9,200. Trial dichotomised at Rs 11,000. Kuppuswamy class column empty in all 780 rows (still owed by study). Baseline control income/household-size columns arrive swapped; tidier corrects.",,
ses_household_measure,inferred,Q16Per_capita_income,"""Monthly per capita family income in Indian rupees (monthly family income divided by household size; the income component of the Kuppuswamy scale)""",Kuppuswamy SES class column is present but empty in all 6 sheets; built instead from the income component the trial used to classify families.,,
ses_hukou,unavailable,,,Not applicable (Chinese registration status; cohort is Indian).,,
