target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,participant_id,as.character(participant_id),"Encrypted FFCWS family ID (IDNUM), one per child, the same across that child's waves.",,
wave,compatible,wave,as.character(wave),"Year 3, 5, 9 and 15, built by the tidier. Baseline and Year 1 ask no screen-use item; Year 22 respondents are adults, outside the 0-19 range.",,
data_year,compatible,"interview_year, wave","coalesce(
  as.numeric(interview_year),
  recode_values(wave, ""Year 3"" ~ 2003, ""Year 5"" ~ 2005, ""Year 9"" ~ 2009, ""Year 15"" ~ 2015)
)","Interview year of the component that asked the screen items: in-home visit (CH3MESYR, CH4INTYR), PCG interview (CP5INTYR), teen survey (CK6INTYR). 25 rows with no interview year (Year 5: 7, Year 9: 18) take the wave's modal fieldwork year (2003, 2005, 2009, 2015); all other rows are per-row years.",,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,compatible,nat_weight,as.numeric(nat_weight),"Primary caregiver/family national weight (P3NATWT, P4NATWT, P5NATWT, P6NATWT), makes the 16 core-sample cities representative of large-U.S.-city births 1998-2000; not rescaled. Self-report (K series) and city (CITYWT) weights also exist but are not mapped.",,
survey_strata,unavailable,,,Not released; replicate weights only.,,
survey_cluster,unavailable,,,Not released; replicate weights only.,,
age_years,compatible,"age_months, age_months_alt","coalesce(age_months, age_months_alt) / 12","Age in months / 12 from the interview supplying the screen items (CM3B_AGE, CM4B_AGE, CH5AGEM, CK6YAGEM); gaps filled from the parallel component (CH4AGEMOS, CM5B_AGE, CP6YAGEM).",,
sex,compatible,sex,"recode_values(as.numeric(sex), 1 ~ ""Male"", 2 ~ ""Female"", default = ""Unknown"")","Sex recorded at baseline, carried to every wave. CM1BSEX also allows code 3 (multiple birth); unused in this file.",,
country,inferred,,"""USA""","FFCWS sampled births in 20 large US cities, 1998-2000 (doi:10.1016/S0190-7409(01)00141-4).",,
state,unavailable,,,Not an Australian dataset.,,
