target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,inferred,(none),as.character(seq_len(nrow(tbl))),"No participant identifier; row position used as synthetic id. ESPAD_Cluster_School/Class identify schools and classes, not students. Waves are independent cross-sections.",,
wave,compatible,ESPAD_Year,as.character(ESPAD_Year),"Independent cross-sections. Tidier keeps 2015 and 2019, the waves with screen-use items, and drops the country-cycles with no gaming-hours item (Belgium Flanders and Portugal 2015, France 2019).",,
data_year,compatible,ESPAD_Year,as.numeric(ESPAD_Year),Wave year; fieldwork in spring.,,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,compatible,WEIGHT,as.numeric(WEIGHT),"WEIGHT, the ESPAD weight as released (cross-sectional, within country; 1 for every student in country samples with no weighting).",,
survey_strata,unavailable,,,Not in the supplied extract.,,
survey_cluster,compatible,ESPAD_Cluster_School,as.character(as.integer(ESPAD_Cluster_School)),"ESPAD_Cluster_School, the random school id, unique across countries and waves, so no wave prefix. Classes (ESPAD_Cluster_Class) nest within schools.",,
age_years,inferred,(none),15.8,"No age item. ESPAD samples students turning 16 in the survey year (born 1999 for 2015, 2003 for 2019), surveyed mainly March-May; centre of that cohort's age at mid-April, 15.8.",,
sex,compatible,C01,"recode_values(as.numeric(C01), 1 ~ ""Male"", 2 ~ ""Female"", 3 ~ ""Other"", 4 ~ ""Unknown"", default = ""Unknown"")",Single gender item. Other and rather-not-answer options added in later waves; rather-not-answer maps to Unknown.,,
country,compatible,COUNTRY,"lookup_values(haven::as_factor(COUNTRY), lookup_country, default = ""Unknown"")","Belgian, Russian and Bosnian sub-national samples collapse to Belgium, Russia and Bosnia and Herzegovina; other countries map one to one.",country,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,unavailable,,,Not in the supplied extract.,,
indigenous,unavailable,,,Not in the supplied extract.,,
minority,unavailable,,,Not in the supplied extract.,,
immigrant_background,unavailable,,,Not in the supplied extract.,,
born_in_country,unavailable,,,Not in the supplied extract.,,
ses_area,unavailable,,,Not collected.,,
ses_household,unavailable,,,Not in the supplied extract.,,
ses_household_measure,unavailable,,,See ses_household.,,
ses_hukou,unavailable,,,Hukou not asked.,,
maternal_education,unavailable,,,Not in the supplied extract.,,
paternal_education,unavailable,,,Not in the supplied extract.,,
parental_education,unavailable,,,Not in the supplied extract.,,
urbanicity,unavailable,,,Not in the supplied extract.,,
family_structure,unavailable,,,Not in the supplied extract.,,
fam_screenrules,unavailable,,,Not in the supplied extract.,,
fam_bedroomscreen,unavailable,,,Not in the supplied extract.,,
fam_parentstress,unavailable,,,Not collected.,,
fam_parentstress_measure,unavailable,,,See fam_parentstress.,,
school_grade,unavailable,,,Not in the supplied extract.,,
st_measure_type,inferred,,"""Categorical""",Banded hours (none to 6 hours or more) in both waves.,,
st_measure_name,inferred,,"""Custom""","ESPAD questionnaire items: 2019 hours gaming with other people on a school and a non-school day (C40a, C40b); 2015 hours of online gaming on a typical day (X15_C40b).",,
st_responder,inferred,,"""Self""",Self-completed classroom questionnaire.,,
st_total_wd,incompatible,C40a,,"Only a school-day gaming item (C40a), mapped to st_game_wd; no all-screen item (DR-0004).",,
st_total_we,incompatible,C40b,,"Only a non-school-day gaming item (C40b), mapped to st_game_we; no all-screen item (DR-0004).",,
st_total,incompatible,"C40a, C40b, X15_C40b",,"Only gaming items, mapped to st_game; no all-screen item (DR-0004).",,
st_watch_wd,unavailable,,,No weekday/weekend split.,,
st_watch_we,unavailable,,,No weekday/weekend split.,,
st_watch,unavailable,,,Not in the supplied extract.,,
st_game_wd,partial,C40a,"recode_values(as.numeric(C40a), 1 ~ 0, 2 ~ 0.25, 3 ~ 1, 4 ~ 2.5, 5 ~ 4.5, 6 ~ 6)","2019 only. C40a, hours gaming with other people on any device on a school day, last 30 days: none 0, half an hour or less 0.25, about 1 hour 1, 2-3 hours 2.5, 4-5 hours 4.5, top band 6 hours or more at 6. Partial: gaming with other people only.",,
st_game_we,partial,C40b,"recode_values(as.numeric(C40b), 1 ~ 0, 2 ~ 0.25, 3 ~ 1, 4 ~ 2.5, 5 ~ 4.5, 6 ~ 6)","2019 only. C40b, as st_game_wd for a non-school day (weekend, holidays), last 30 days; top band at 6. Partial: gaming with other people only.",,
st_game,partial,"C40a, C40b, X15_C40b","coalesce(
  (recode_values(as.numeric(C40a), 1 ~ 0, 2 ~ 0.25, 3 ~ 1, 4 ~ 2.5, 5 ~ 4.5, 6 ~ 6) *
    5 +
    recode_values(as.numeric(C40b), 1 ~ 0, 2 ~ 0.25, 3 ~ 1, 4 ~ 2.5, 5 ~ 4.5, 6 ~ 6) * 2) /
    7,
  recode_values(as.numeric(X15_C40b), 1 ~ 0, 2 ~ 0.25, 3 ~ 1, 4 ~ 2.5, 5 ~ 4.5, 6 ~ 6)
)","2019: (5 x C40a + 2 x C40b) / 7; 2015: X15_C40b, hours of online gaming on a typical day; last 30 days, bands as st_game_wd, top band at 6. Partial: gaming with other people (2019) or online gaming (2015) only.",,
st_game_comp_wd,unavailable,,,No device split; see st_game_wd.,,
st_game_comp_we,unavailable,,,No device split; see st_game_we.,,
st_game_comp,unavailable,,,No device split; see st_game.,,
st_game_console_wd,unavailable,,,No device split; see st_game_wd.,,
st_game_console_we,unavailable,,,No device split; see st_game_we.,,
st_game_console,unavailable,,,No device split; see st_game.,,
st_game_handheldconsole_wd,unavailable,,,No device split; see st_game_wd.,,
st_game_handheldconsole_we,unavailable,,,No device split; see st_game_we.,,
st_game_handheldconsole,unavailable,,,No device split; see st_game.,,
st_game_active_wd,unavailable,,,Not collected.,,
st_game_active_we,unavailable,,,Not collected.,,
st_game_active,unavailable,,,Not collected.,,
st_game_phone_wd,unavailable,,,No device split; see st_game_wd.,,
st_game_phone_we,unavailable,,,No device split; see st_game_we.,,
st_game_phone,unavailable,,,No device split; see st_game.,,
st_game_tablet_wd,unavailable,,,No device split; see st_game_wd.,,
st_game_tablet_we,unavailable,,,No device split; see st_game_we.,,
st_game_tablet,unavailable,,,No device split; see st_game.,,
st_comp_nongaming_wd,unavailable,,,Not collected.,,
st_comp_nongaming_we,unavailable,,,Not collected.,,
st_comp_nongaming,unavailable,,,Not collected.,,
st_comp_wd,unavailable,,,Not collected.,,
st_comp_we,unavailable,,,Not collected.,,
st_comp,unavailable,,,Not collected.,,
st_tablet_wd,unavailable,,,Not collected.,,
st_tablet_we,unavailable,,,Not collected.,,
st_tablet,unavailable,,,Not collected.,,
st_phone_wd,unavailable,,,Not collected.,,
st_phone_we,unavailable,,,Not collected.,,
st_phone,unavailable,,,Not collected.,,
st_socmedia_wd,unavailable,,,Not in the supplied extract.,,
st_socmedia_we,unavailable,,,Not in the supplied extract.,,
st_socmedia,incompatible,"C39a, C39b, C39c",,"Only agree/disagree statements on problematic social-media use (C39a, C39b, C39c), mapped to beh_problematicuse_self; no hours item in the extract.",,
st_educational_wd,unavailable,,,Not collected.,,
st_educational_we,unavailable,,,Not collected.,,
st_educational,unavailable,,,Not collected.,,
st_work_wd,unavailable,,,Not collected.,,
st_work_we,unavailable,,,Not collected.,,
st_work,unavailable,,,Not collected.,,
st_internet_wd,unavailable,,,Not in the supplied extract.,,
st_internet_we,unavailable,,,Not in the supplied extract.,,
st_internet,incompatible,"X15_C39b, X15_C40b",,2015 internet-use block supplied for gaming only in this extract; no general internet time. See st_game.,,
st_videochat,unavailable,,,Not collected.,,
st_messaging_wd,unavailable,,,Not in the supplied extract.,,
st_messaging_we,unavailable,,,Not in the supplied extract.,,
st_messaging,unavailable,,,Not in the supplied extract.,,
st_creating,unavailable,,,Not in the supplied extract.,,
st_email,unavailable,,,Not collected.,,
st_shopping,unavailable,,,Not in the supplied extract.,,
st_total_school,unavailable,,,No item on use at school.,,
st_educational_school,unavailable,,,No item on use at school.,,
st_comp_school,unavailable,,,No item on use at school.,,
st_tablet_school,unavailable,,,No item on use at school.,,
st_internet_school,unavailable,,,No item on use at school.,,
st_phone_school,unavailable,,,No item on use at school.,,
acc_academachment_selfrated,unavailable,,,Not in the supplied extract.,,
acc_academachment_lettergrades,unavailable,,,Not in the supplied extract.,,
acc_academachment_stdtest,unavailable,,,Not collected.,,
acc_schoolengage_caresschool,unavailable,,,Not in the supplied extract.,,
acc_schoolengage_homework,unavailable,,,Not in the supplied extract.,,
acc_schoolpressure_self,unavailable,,,Not in the supplied extract.,,
acc_schoolbelonging_self,unavailable,,,Not in the supplied extract.,,
acc_schoolbelonging_measure,unavailable,,,See acc_schoolbelonging_self.,,
acc_academachment_numgrades,unavailable,,,Not in the supplied extract.,,
acc_academachment_teacherrated,unavailable,,,Not collected.,,
acc_numeracy_stdtest,unavailable,,,Not collected.,,
acc_literacy_stdtest,unavailable,,,Not collected.,,
beh_hyper_basc2,unavailable,,,Not collected.,,
beh_atten_basc2,unavailable,,,Not collected.,,
beh_atten_self,unavailable,,,Not collected.,,
beh_atten_measure,unavailable,,,See beh_atten_self.,,
beh_selfreg_htks,unavailable,,,Not collected.,,
beh_bullied,unavailable,,,Not in the supplied extract.,,
beh_beenbullied,unavailable,,,Not in the supplied extract.,,
beh_beenbullied_online,unavailable,,,Not in the supplied extract.,,
beh_bullied_online,unavailable,,,Not in the supplied extract.,,
beh_fight,unavailable,,,Not in the supplied extract.,,
beh_truancy,unavailable,,,Not in the supplied extract.,,
beh_stealing,unavailable,,,Not in the supplied extract.,,
beh_vandalism,unavailable,,,Not in the supplied extract.,,
beh_alcohol_self,unavailable,,,Not in the supplied extract.,,
beh_tobacco_self,unavailable,,,Not in the supplied extract.,,
beh_cannabis_self,partial,O14,"recode_values(as.numeric(O14), 1 ~ ""TRUE"", 2 ~ ""FALSE"", 3 ~ ""FALSE"", 4 ~ ""FALSE"", 5 ~ ""FALSE"")","O14, 'If you had ever used cannabis, do you think that you would have said so in this questionnaire?': 'I already said that I have used it' TRUE; definitely yes, probably yes, probably not, definitely not FALSE (16.9% TRUE in 2015, 16.0% in 2019). Partial: lifetime use.",,
beh_conduct_sdq_parent,unavailable,,,Not collected.,,
beh_hyper_sdq_parent,unavailable,,,Not collected.,,
beh_peerprob_sdq_parent,unavailable,,,Not collected.,,
beh_prosocial_sdq_parent,unavailable,,,Not collected.,,
beh_aggphys_bpaq_self,unavailable,,,Not collected.,,
beh_aggverb_bpaq_self,unavailable,,,Not collected.,,
beh_agganger_bpaq_self,unavailable,,,Not collected.,,
beh_agghostility_bpaq_self,unavailable,,,Not collected.,,
beh_agg_self,unavailable,,,Not collected.,,
beh_agg_measure,unavailable,,,See beh_agg_self.,,
beh_argues,unavailable,,,Not in the supplied extract.,,
beh_persistence_finishwork,unavailable,,,Not in the supplied extract.,,
beh_emotreg_stayscalm,unavailable,,,Not in the supplied extract.,,
beh_peerprob_makefriends,unavailable,,,Not in the supplied extract.,,
beh_conduct_diagnosed,unavailable,,,Not in the supplied extract.,,
beh_conduct_diagnosed_severity,unavailable,,,Not in the supplied extract.,,
beh_conduct_sdq_self,unavailable,,,Not collected.,,
beh_hyper_sdq_self,unavailable,,,Not collected.,,
beh_peerprob_sdq_self,unavailable,,,Not collected.,,
beh_prosocial_sdq_self,unavailable,,,Not collected.,,
beh_conduct_sdq_teacher,unavailable,,,Not collected.,,
beh_hyper_sdq_teacher,unavailable,,,Not collected.,,
beh_peerprob_sdq_teacher,unavailable,,,Not collected.,,
beh_prosocial_sdq_teacher,unavailable,,,Not collected.,,
beh_ext_sdq_parent,unavailable,,,Not collected.,,
beh_ext_sdq_self,unavailable,,,Not collected.,,
beh_ext_sdq_teacher,unavailable,,,Not collected.,,
beh_agg_cbcl_parent,unavailable,,,Not collected.,,
beh_atten_cbcl_parent,unavailable,,,Not collected.,,
beh_rulebreak_cbcl_parent,unavailable,,,Not collected.,,
beh_ext_cbcl_parent,unavailable,,,Not collected.,,
beh_cbcl_measure,unavailable,,,See the *_cbcl_parent rows.,,
beh_prosocial_online_self,unavailable,,,Not in the supplied extract.,,
beh_prosocial_online_measure,unavailable,,,Not in the supplied extract.,,
beh_problematicuse_self,compatible,"C39a, C39b, C39c","recode_values(as.numeric(C39a), 1 ~ 4, 2 ~ 3, 3 ~ 2, 4 ~ 1, 5 ~ 0) +
  recode_values(as.numeric(C39b), 1 ~ 4, 2 ~ 3, 3 ~ 2, 4 ~ 1, 5 ~ 0) +
  recode_values(as.numeric(C39c), 1 ~ 4, 2 ~ 3, 3 ~ 2, 4 ~ 1, 5 ~ 0)","Sum of C39a, C39b, C39c ('I think I spend way too much time on Social Media', 'I get in a bad mood when I cannot spend time on Social Media', 'My parents say that I spend way too much time on Social Media'), 5-point agreement reversed and rebased to 0-4 (5 - x), complete-case, range 0-12; no recall period.",,
beh_problematicuse_measure,inferred,,"""ESPAD problematic social media use items (social media), 3 of 3 items, 0-4 item scoring (range 0-12), sum, all 3 items reversed from 1 (strongly agree)-5 (strongly disagree)""","Self-report agreement items, no recall period; fielded in every retained country-cycle.",,
cog_execfunc_basc2,unavailable,,,No cognitive testing.,,
cog_langexec_nepsy,unavailable,,,No cognitive testing.,,
cog_phono_nepsy,unavailable,,,No cognitive testing.,,
cog_inhibcont_nepsy,unavailable,,,No cognitive testing.,,
cog_vismotor_nepsy,unavailable,,,No cognitive testing.,,
cog_verbalfluency_nepsy,unavailable,,,No cognitive testing.,,
cog_inhib_nihtb_flanker,unavailable,,,No cognitive testing.,,
cog_flex_nihtb_dccs,unavailable,,,No cognitive testing.,,
cog_wm_nihtb_listsort,unavailable,,,No cognitive testing.,,
cog_speed_nihtb_pattern,unavailable,,,No cognitive testing.,,
cog_epimem_nihtb_picseq,unavailable,,,No cognitive testing.,,
cog_vocab_nihtb_picvocab,unavailable,,,No cognitive testing.,,
cog_fluidcomp_nihtb,unavailable,,,No cognitive testing.,,
cog_crystcomp_nihtb,unavailable,,,No cognitive testing.,,
cog_totalcomp_nihtb,unavailable,,,No cognitive testing.,,
cog_wm_digitspan,unavailable,,,No cognitive testing.,,
cog_iq_fullscale,unavailable,,,No cognitive testing.,,
cog_vocab_bpvs,unavailable,,,No cognitive testing.,,
cog_vocab_ppvt,unavailable,,,No cognitive testing.,,
cog_execfunc_brief_parent,unavailable,,,No cognitive testing.,,
cog_vocab_bas_naming,unavailable,,,No cognitive testing.,,
cog_nonverbalreason_bas_picsim,unavailable,,,No cognitive testing.,,
cog_spatial_bas_pattern,unavailable,,,No cognitive testing.,,
cog_verbalreason_bas_versim,unavailable,,,No cognitive testing.,,
cog_schoolread_bracken,unavailable,,,No cognitive testing.,,
cog_creativethinking_stdtest,unavailable,,,No cognitive testing.,,
mh_anx_basc2,unavailable,,,Not collected.,,
mh_dep_basc2,unavailable,,,Not collected.,,
mh_emotsymp_sdq_parent,unavailable,,,Not collected.,,
mh_totaldiff_sdq_parent,unavailable,,,Not collected.,,
mh_anx_diagnosed,unavailable,,,Not in the supplied extract.,,
mh_anx_diagnosed_severity,unavailable,,,Not in the supplied extract.,,
mh_dep_diagnosed,unavailable,,,Not in the supplied extract.,,
mh_dep_diagnosed_severity,unavailable,,,Not in the supplied extract.,,
mh_emotsymp_sdq_self,unavailable,,,Not collected.,,
mh_emotsymp_sdq_teacher,unavailable,,,Not collected.,,
mh_totaldiff_sdq_self,unavailable,,,Not collected.,,
mh_totaldiff_sdq_teacher,unavailable,,,Not collected.,,
mh_int_sdq_parent,unavailable,,,Not collected.,,
mh_int_sdq_self,unavailable,,,Not collected.,,
mh_int_sdq_teacher,unavailable,,,Not collected.,,
mh_dep_smfq_self,unavailable,,,Not in the supplied extract.,,
mh_dep_smfq_parent,unavailable,,,Not collected.,,
mh_dep_cdi_self,unavailable,,,Not in the supplied extract.,,
mh_dep_cesd_self,unavailable,,,Not in the supplied extract.,,
mh_dep_phq9_self,unavailable,,,Not in the supplied extract.,,
mh_dep_rcads_self,unavailable,,,Not in the supplied extract.,,
mh_dep_dass21_self,unavailable,,,Not in the supplied extract.,,
mh_dep_scl_self,unavailable,,,Not in the supplied extract.,,
mh_distress_k6_self,unavailable,,,Not in the supplied extract.,,
mh_distress_k10_self,unavailable,,,Not in the supplied extract.,,
mh_anx_masc_self,unavailable,,,Not in the supplied extract.,,
mh_anx_scas_self,unavailable,,,Not in the supplied extract.,,
mh_anx_scas_parent,unavailable,,,Not collected.,,
mh_anx_scared_self,unavailable,,,Not in the supplied extract.,,
mh_anx_scared_parent,unavailable,,,Not collected.,,
mh_anx_gad7_self,unavailable,,,Not in the supplied extract.,,
mh_anx_rcads_self,unavailable,,,Not in the supplied extract.,,
mh_anx_dass21_self,unavailable,,,Not in the supplied extract.,,
mh_anxdep_cbcl_parent,unavailable,,,Not collected.,,
mh_int_cbcl_parent,unavailable,,,Not collected.,,
mh_dep_binary_self,unavailable,,,Not in the supplied extract.,,
mh_dep_self,unavailable,,,Not in the supplied extract.,,
mh_dep_measure,unavailable,,,See mh_dep_self.,,
mh_anx_self,unavailable,,,Not in the supplied extract.,,
mh_anx_measure,unavailable,,,See mh_anx_self.,,
mh_depanx_diagnosed,unavailable,,,Not in the supplied extract.,,
mh_stress_self,unavailable,,,Not in the supplied extract.,,
