target_variable,status,source_columns,expression,notes,lookup_table
participant_id,inferred,,as.character(seq_len(nrow(tbl))),No participant identifier; row index used. Cannot link across rounds.,
wave,compatible,survey,as.character(survey),"2019 (prepandemic) or 2022 (postpandemic); repeated cross-sections, no within-person change.",
data_year,compatible,survey,as.numeric(survey),Recorded per row in the source.,
rct_arm,unavailable,,,Observational school-based study with no randomised allocation.,
age_years,compatible,age,as.numeric(age),"Self-reported, completed years. Some exceed the dataschema maximum (high school integrated with professional education); left as reported.",
sex,compatible,sex,"recode_values(sex, ""Male"" ~ ""Male"", ""Female"" ~ ""Female"", default = ""Unknown"")","Self-reported; male/female only, no other category offered.",
country,inferred,,"""Brazil""","Three Instituto Federal de Santa Catarina (IFSC) campuses, Grande Florianopolis mesoregion, Santa Catarina, Brazil (10.1016/j.acap.2025.102885).",
state,unavailable,,,,
ethnicity,proximate,race,"coalesce(lookup_values(race, lookup_ethnicity, dataset_id = spec$dataset_id, target_variable = ""ethnicity""), ""Unknown"")","Self-reported cor/raca (IBGE categories, https://www.ibge.gov.br/painel-cor-ou-raca/). Proximate: skin-colour classification, not census ethnicity; Indigena has no dataschema category, collapses to Other (kept in indigenous).",ethnicity
indigenous,compatible,race,"case_when(race == ""Indigenous"" ~ ""Indigenous"", is.na(race) ~ ""Unknown"", .default = ""Non-Indigenous"")",Indigena is an explicit response option; other categories treated as Non-Indigenous.,
minority,proximate,race,"case_when(
  race == ""White"" ~ ""Non-minority"",
  race %in% c(""Black"", ""Asian"", ""Indigenous"", ""Other (specify)"") ~ ""Minority"",
  .default = ""Unknown""
)",Classified against Branca/White (largest group). Parda/Mixed left Unknown (neither largest nor a numerical minority).,
immigrant_background,unavailable,,,Not in the IPD extract.,
ses_area,unavailable,,,,
ses_household,compatible,abep_score,"case_when(abep_score <= 36 ~ ""Low"", abep_score <= 41 ~ ""Medium"", abep_score > 41 ~ ""High"", .default = ""Unknown"")","ABEP Criterio Brasil score (https://abep.org/criterio-brasil/), within-sample quintiles (bottom two Low, top two High). Within-sample because the sample is affluent; national classes leave Low almost empty.",
ses_household_measure,inferred,abep_score,"""ABEP Criterio Brasil economic classification score (household assets, access to public services and education of the household head; 0-100 scale, 14-76 observed)""",Standardised national measure (Associacao Brasileira de Empresas de Pesquisa); higher = higher economic standing.,
ses_hukou,unavailable,,,Not a Chinese dataset.,
maternal_education,proximate,mother_education,"coalesce(
  lookup_values(
    mother_education,
    lookup_maternal_education,
    dataset_id = spec$dataset_id,
    target_variable = ""maternal_education""
  ),
  ""Unknown""
)",Adolescent-reported. Proximate: 'Incomplete higher education' (no qualification) grouped at Post-secondary with completed sub-degree qualifications.,maternal_education
paternal_education,proximate,father_education,"recode_values(
  father_education,
  c(
    ""No formal education"",
    ""Incomplete elementary school"",
    ""Complete elementary school"",
    ""Complete high school""
  ) ~ ""Secondary school or less"",
  ""Incomplete higher education"" ~ ""Post-secondary"",
  ""Complete higher education"" ~ ""Bachelor degree or higher"",
  default = ""Unknown""
)","Father's equivalent of maternal_education, recoded inline (no shared lookup). Same 'Incomplete higher education' caveat.",
