target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,participant_id,as.character(participant_id),Built in the tidier; source ids restart at 1 in each survey.,,
wave,compatible,wave,wave,Survey year; three independent cross-sections.,,
data_year,compatible,wave,as.numeric(wave),Survey year label (fieldwork year).,,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,compatible,"students_2021_WT, adolescents_2023_WT","coalesce(as.numeric(students_2021_WT), as.numeric(adolescents_2023_WT))",2021 and 2023 only; the 2020 release has no weight. Study-supplied student weight (WT) used as released: expansion weights summing to about 3.99 million (2021) and 3.97 million (2023) students.,,
survey_strata,unavailable,,,Not in the supplied extract.,,
survey_cluster,unavailable,,,Not in the supplied extract.,,
age_years,partial,"students_2020_SQ3, students_2020_SQ3_1, students_2021_SQ6, adolescents_2023_DQ2_2","coalesce(
  case_when(
    students_2020_SQ3 == 1 ~ students_2020_SQ3_1 + 6,
    students_2020_SQ3 == 2 ~ students_2020_SQ3_1 + 12,
    students_2020_SQ3 == 3 ~ students_2020_SQ3_1 + 15
  ),
  2021 - as.numeric(students_2021_SQ6),
  2023 - as.numeric(adolescents_2023_DQ2_2)
)","2021/2023: survey year minus birth year. 2020: modal age for school level and grade, not individual.",,
sex,compatible,"students_2020_SQ1, students_2021_SQ5, adolescents_2023_DQ2_1","coalesce(
  recode_values(
    coalesce(as.numeric(students_2020_SQ1), as.numeric(students_2021_SQ5), as.numeric(adolescents_2023_DQ2_1)),
    1 ~ ""Male"",
    2 ~ ""Female""
  ),
  ""Unknown""
)","1 = male, 2 = female in all three years; coerced to numeric so differing value labels are not carried.",,
country,inferred,,"""South Korea""",No country item; Korean national survey.,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,unavailable,,,Not collected.,,
indigenous,unavailable,,,Not collected.,,
minority,unavailable,,,Not collected.,,
immigrant_background,unavailable,,,Not collected.,,
born_in_country,unavailable,,,Not collected.,,
ses_area,unavailable,,,Not collected.,,
