target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,participant_id,as.character(participant_id),Cycle year prefixed to CNTSTUID; ids repeat across cycles.,,
wave,compatible,.wave,as.character(.wave),PISA cycle year.,,
data_year,compatible,.wave,as.numeric(.wave),"PISA cycle year, the survey's own year label; fieldwork fell in that year in every country (2022 after the pandemic delay).",,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,compatible,W_FSTUWT,as.numeric(W_FSTUWT),"Final trimmed nonresponse-adjusted student weight (W_FSTUWT), every cycle, not rescaled (sums to each country's 15-year-old population). The 80 BRR replicate weights PISA uses for variance are not harmonised.",,
survey_strata,compatible,".wave, STRATUM","if_else(is.na(STRATUM), NA_character_, paste(.wave, STRATUM))","Explicit sampling stratum (STRATUM, country-prefixed code), prefixed with the cycle because codes recur across cycles. Undisclosed strata (codes ending 97 or 99) pool a country's schools into one stratum; 2025 leaves STRATUM blank in 12 countries (NA).",,
survey_cluster,compatible,".wave, CNTSCHID","local({
  id <- as.numeric(CNTSCHID)
  if_else(is.na(id) | id %% 100000 == 0, NA_character_, paste(.wave, sprintf(""%.0f"", id)))
})",International school id (CNTSCHID); schools are PISA's first-stage sampling units. Prefixed with the cycle because ids recur across cycles. Placeholder ids ending 00000 (three 2015 US-state samples) and 2025 ids withheld in five countries are NA.,,
age_years,compatible,AGE,as.numeric(AGE),OECD-derived age at testing in years with months as decimals.,,
sex,proximate,"ST004D01T, MALE","coalesce(
  recode_values(as.numeric(ST004D01T), 1 ~ ""Female"", 2 ~ ""Male""),
  recode_values(as.numeric(MALE), 1 ~ ""Male"", 0 ~ ""Female""),
  ""Unknown""
)","Sampling-frame gender (ST004D01T; female, male). 2025 withholds it in Argentina, Australia, Belgium, Canada, Chile, Colombia, Denmark, Germany, Iceland, Ireland, Netherlands, New Zealand, Spain and Uruguay, which release MALE instead; its Female/Other code is taken as Female (proximate).",,
country,compatible,"CNT, STRATUM, .wave","local({
  cnt <- as.character(haven::zap_labels(CNT))
  nation <- lookup_values(
    if_else(cnt == ""GBR"", paste(.wave, STRATUM), NA_character_),
    lookup_country,
    default = NA_character_
  )
  coalesce(nation, lookup_values(cnt, lookup_country, default = ""Unknown""))
})","CNT through lookups/country.csv. UK rows take their nation (England, Scotland, Wales, Northern Ireland) from the cycle's sampling stratum; undisclosed UK strata stay United Kingdom. Sub-national samples map to their country (Baku, Moscow City/Region, Tatarstan, Chinese provinces, US states, Buenos Aires, Spanish/Ukrainian regions, Kurdistan, Dushanbe).",country,
state,compatible,"STRATUM, .wave","lookup_values(paste(.wave, STRATUM), lookup_state, default = NA_character_)",Australian strata encode state and sector; undisclosed stratum = Unknown; non-AU rows NA.,state,
ethnicity,incompatible,"IMMIG, ST019AQ01T, ST022Q01TA",,"No ethnic-group item; birthplace (ST019AQ01T, 2015-2022; IMMIG, mapped to immigrant_background) and home language (ST022Q01TA) only.",,
indigenous,unavailable,,,Not in the international file; the AU national file carries it.,,
minority,proximate,IMMIG,"recode_values(as.numeric(IMMIG), 1 ~ ""Non-minority"", c(2, 3) ~ ""Minority"", default = ""Unknown"")","Immigrant background as proxy: first/second-generation (student or both parents born abroad) = Minority, native = Non-minority. Ethnicity not collected.",,
immigrant_background,compatible,IMMIG,"recode_values(as.numeric(IMMIG), 1 ~ ""Native"", 2 ~ ""Second-generation"", 3 ~ ""First-generation"", default = ""Unknown"")",OECD immigrant-background index from the birthplace of the student and both parents.,,
born_in_country,compatible,"ST019AQ01T, BICT_S","coalesce(
  recode_values(as.numeric(ST019AQ01T), 1 ~ ""Yes"", 2 ~ ""No""),
  recode_values(as.numeric(BICT_S), 1 ~ ""Yes"", 0 ~ ""No""),
  ""Unknown""
)","Student's own birthplace, country of test or other country (ST019AQ01T, 2015-2022; 2022 'I don't know' is Unknown); 2025 releases only the OECD flag derived from it (BICT_S). The UK samples' country of test is the UK.",,
ses_area,unavailable,,,Not collected.,,
ses_household,compatible,"ESCS, CNT, .wave","case_when(
  is.na(ESCS) ~ ""Unknown"",
  as.numeric(ESCS) <=
    stats::ave(as.numeric(ESCS), paste(.wave, haven::zap_labels(CNT)), FUN = function(x) {
      stats::quantile(x, 0.4, na.rm = TRUE)
    }) ~ ""Low"",
  as.numeric(ESCS) <=
    stats::ave(as.numeric(ESCS), paste(.wave, haven::zap_labels(CNT)), FUN = function(x) {
      stats::quantile(x, 0.6, na.rm = TRUE)
    }) ~ ""Medium"",
  .default = ""High""
)","ESCS quintiles cut within country and cycle (OECD reports national quartiles): Q1-2 Low, Q3 Medium, Q4-5 High. Pooled quintiles would mostly sort by national wealth.",,
