target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,id,as.character(id),"Pupil ID, repeated across the three waves.",,
wave,compatible,wave,wave,"Baseline, 3-month and 12-month follow-up, from the source column prefix (pb/pm/py). Pupil-waves with no questionnaire returned are dropped.",,
data_year,inferred,wave,"recode_values(wave, ""Baseline"" ~ 2010, ""3-month"" ~ 2010, ""12-month"" ~ 2011)","No collection date in the data. SEYLE recruited Nov 2009-Dec 2010 (10.1016/S0140-6736(14)61213-7; protocol 10.1186/1471-2458-10-192); 2010/2010/2011 approximates baseline/3-month/12-month, though some baselines fell in 2009. Confirm with the provider.",,
rct_arm,inferred,id,"recode_values(substr(id, 7, 7), ""Q"" ~ ""QPR"", ""A"" ~ ""YAM"", ""P"" ~ ""ProfScreen"", ""C"" ~ ""Control"", default = NA_character_)","Four-arm cluster RCT; arms named as in the main outcome paper (10.1016/S0140-6736(14)61213-7): QPR, YAM (Youth Aware of Mental Health; 'Awareness' in the protocol), ProfScreen, Control. Inferred: decoded from character 7 of the pupil ID (Q/A/P/C, one letter per school), not documented in the codebook; confirm with the provider. Arms did not target screen use (DR-0001).",,
survey_weight,unavailable,,,Not a survey sample.,,
survey_strata,unavailable,,,Not a survey sample.,,
survey_cluster,unavailable,,,Not a survey sample.,,
age_years,partial,"age, wave","as.numeric(age) + 0.5 + recode_values(wave, ""Baseline"" ~ 0, ""3-month"" ~ 0.25, ""12-month"" ~ 1)","Completed years (+0.5), asked at baseline only. Follow-ups take baseline age plus the nominal interval (+0.25, +1), partial; one pupil aged 21 is kept.",,
sex,compatible,gender,"recode_values(as.numeric(gender), 1 ~ ""Male"", 2 ~ ""Female"", default = ""Unknown"")","Pupil self-report; only codes 1 and 2 occur, no missingness.",,
country,compatible,country,"recode_values(as.numeric(country), 5 ~ ""Germany"", default = ""Unknown"")",SEYLE covered 11 sites; this extract is the German site only (code 5).,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,incompatible,"q8, q9a, q9bsp, q10a, q10bsp, q11a, q11bsp",,"Ethnicity never asked. The migration block (citizenship; pupil and parental birth in Germany, with free-text country) is not ethnicity and has no defensible White/Black/Asian/Hispanic mapping for its largest groups, ethnic-German repatriates (Kazakhstan, Russia) and Turkish-origin pupils. See minority.",,
indigenous,unavailable,,,No indigenous category in Germany; not collected.,,
minority,proximate,"q9a, q10a, q11a, id, wave","local({
  youth <- as.numeric(q9a)
  father <- as.numeric(q10a)
  mother <- as.numeric(q11a)
  parent_native <- father %in% 1 | mother %in% 1
  parent_abroad <- !parent_native & (father %in% 2 | mother %in% 2)
  observed <- case_when(
    parent_native ~ ""Non-minority"",
    parent_abroad & youth %in% c(1, 2) ~ ""Minority"",
    .default = NA_character_
  )
  wave_order <- match(wave, c(""Baseline"", ""3-month"", ""12-month""))
  coalesce(carry_within(observed, id, wave_order), ""Unknown"")
})","No ethnicity item; from immigrant_background (pupil and parental birth in Germany, 9a/10a/11a): First- or Second-generation -> Minority, Native -> Non-minority; proximate. Not asked at 3-month; undetermined waves take the pupil's earliest determined value, else Unknown.",,
