target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,inferred,(none),as.character(seq_len(nrow(tbl))),"No participant ID released (studieid is a constant study code). Row position in the SUF file used as a synthetic id; stable within this file only, not linkable to other releases.",,
wave,unavailable,,,Single collection occasion (KiGGS Wave 2 cross-sectional SUF).,,
data_year,inferred,(none),2016,"No collection date released. Fieldwork ran 2014-08-01 to 2017-06-08 (Datensatzbeschreibung SUF, section 2); 2016 is the midpoint. DOI 10.7797/17-201417-1-1-1.",,
rct_arm,unavailable,,,"Population-based cross-sectional health survey, not a randomised trial.",,
survey_weight,compatible,wQS,as.numeric(wQS),"RKI cross-sectional weight wQS for all 15,023 participants (examination and interview-only samples), normalised to the sample (mean 1) as released; the weight in the RKI design file wQS.csaplan. wQSpop (population-scaled) and wQSFB (questionnaire population, sensitivity analyses only) not used.",,
survey_strata,unavailable,,,Not released; the RKI design files specify sample-point clusters only.,,
survey_cluster,compatible,ppoint,as.character(ppoint),"Pseudonymised sample point (municipality, 167 points), the cluster variable in the RKI design file wQS.csaplan. Single wave, so no prefix.",,
age_years,partial,age2,"recode_values(age2, 1 ~ 1, 2 ~ 3, 3 ~ 5, 4 ~ 7, 5 ~ 9, 6 ~ 11, 7 ~ 13, 8 ~ 15, 9 ~ 17)","Two-year completed-age bands only (age2; exact age withheld in the SUF), scored (a + b + 1) / 2: 0-1 -> 1, 16-17 -> 17.",,
sex,compatible,sex,"recode_values(sex, 1 ~ ""Male"", 2 ~ ""Female"", default = ""Unknown"")","Two categories, none missing; the Unknown default is a guard only. sexa duplicates sex (boy/girl labels).",,
country,inferred,(none),"""Germany""",Nationally representative sample of children and adolescents resident in Germany (RKI).,,
state,unavailable,,,"Not an Australian dataset. The SUF releases only West/East (wo1, wo2, wob) and municipality size class, not Bundesland.",,
ethnicity,incompatible,"MImigrant, MIhlandB_k",,"Germany does not collect race/ethnicity. Nearest variables (MImigrant, MIhlandB_k) are geographic origin categories, not ethnic groups, and don't map cleanly onto White/Black/Mixed/Asian/Hispanic. Mapped to minority instead.",,
indigenous,unavailable,,,Germany has no indigenous population category and none is collected.,,
minority,proximate,MImigrant,"recode_values(MImigrant, 1 ~ ""Minority"", 2 ~ ""Non-minority"", default = ""Unknown"")","MImigrant: two-sided migration background (migrant only if both parents have one; see KiGGS_Migrantenvariablen_Erklaerung.pdf). Proximate: Germany's standard minority proxy, but excludes one-sided-background children who may still be visible minorities.",,
immigrant_background,incompatible,MImigrant,,"Only MImigrant released (two-sided migration background yes/no, partly nationality-based). No child birthplace, so first and second generation can't be split.",,
born_in_country,incompatible,MImigrant,,"The child's birth country is not released; it enters only the composite migrant status MImigrant (with parents' birthplace and citizenship), which cannot separate it.",,
ses_area,unavailable,,,No area-level deprivation measure. gkpol4 is settlement size class and is mapped to urbanicity instead.,,
ses_household,compatible,SDEses_score,"local({
  s <- as.numeric(haven::zap_labels(SDEses_score))
  s <- if_else(s >= 3 & s <= 21, s, NA_real_)
  case_when(
    is.na(s) ~ ""Unknown"",
    s <= stats::quantile(s, 0.4, na.rm = TRUE) ~ ""Low"",
    s <= stats::quantile(s, 0.6, na.rm = TRUE) ~ ""Medium"",
    .default = ""High""
  )
})","KiGGS SES index (SDEses_score, 3-21: parental education, occupation, equivalised income), cut 40/20/40 on the unweighted sample: Low 40.3%, Medium 20.0%, High 39.7% of scored rows; no score (1.4%) -> Unknown. Released SDEses_q5 quintiles are survey-weighted; not used.",,
ses_household_measure,inferred,(none),"""Composite SES index: KiGGS SES index (Lampert 2018)""","Lampert T, Hoebel J, Kuntz B et al. (2018) Journal of Health Monitoring 3(1): 114-133.",,
ses_hukou,unavailable,,,Not a Chinese dataset.,,
maternal_education,compatible,SDEbild4A1m,"coalesce(
  lookup_values(
    haven::as_factor(SDEbild4A1m),
    lookup_maternal_education,
    dataset_id = spec$dataset_id,
    target_variable = ""maternal_education"",
    default = ""Unknown""
  ),
  ""Unknown""
)","Mother's highest vocational qualification, parent-reported. Codes 1-4 (none/in training/apprenticeship/Berufsfachschule, ISCED 3B/4) -> Secondary school or less; 5 (Fachschule/Meister/Techniker/Fachakademie, ISCED 5B) -> Post-secondary; 6-7 (Fachhochschule/university) -> Bachelor degree or higher. Code 8 ('other, e.g. abroad', unrankable) or no resident mother -> Unknown. SDEbild1m/SDEcasminmz not used: CASMIN can't isolate the Fachschule level.",maternal_education,
paternal_education,compatible,SDEbild4A1v,"coalesce(
  lookup_values(
    haven::as_factor(SDEbild4A1v),
    lookup_maternal_education,
    dataset_id = spec$dataset_id,
    target_variable = ""maternal_education"",
    default = ""Unknown""
  ),
  ""Unknown""
)","Father's highest vocational qualification, parent-reported, through the shared education lookup (maternal_education rows). 8 'other, e.g. abroad' and father not in household -> Unknown.",maternal_education,
parental_education,compatible,"SDEbild4A1m, SDEbild4A1v","local({
  m <- as.numeric(haven::zap_labels(SDEbild4A1m))
  v <- as.numeric(haven::zap_labels(SDEbild4A1v))
  p <- pmax(if_else(m %in% 1:7, m, NA_real_), if_else(v %in% 1:7, v, NA_real_), na.rm = TRUE)
  coalesce(
    lookup_values(
      haven::as_factor(haven::labelled(p, labels = attr(SDEbild4A1m, ""labels"", exact = TRUE))),
      lookup_maternal_education,
      dataset_id = spec$dataset_id,
      target_variable = ""maternal_education"",
      default = ""Unknown""
    ),
    ""Unknown""
  )
})","Higher of the two parents' vocational qualifications: pmax of the ordered codes 1-7 (8 'other' and absent parents dropped, so one known parent suffices), then the shared education lookup. Unknown when neither parent has a rankable code.",maternal_education,
urbanicity,proximate,gkpol4,"recode_values(gkpol4, 1 ~ ""Rural"", c(2, 3) ~ ""Suburban"", 4 ~ ""Urban"", default = ""Unknown"")","Political municipality size class. DEGURBA-style collapse: 1 rural (<5,000) -> Rural; 2-3 small/medium town (5,000-<100,000) -> Suburban; 4 large city (>=100,000) -> Urban. Proximate: settlement size isn't density, and the middle band is towns, not suburbs. gkpol has the same in seven bands.",,
family_structure,proximate,PAEfamsitC_k,"recode_values(
  PAEfamsitC_k,
  1 ~ ""Two biological/adoptive parents"",
  c(3, 5) ~ ""Step family"",
  c(4, 6) ~ ""Single parent"",
  c(7, 8, 9, 10) ~ ""Other"",
  2 ~ ""Unknown"",
  default = ""Unknown""
)","Parent-reported 'who does the child mainly live with?'. 1 birth parents together -> Two biological/adoptive parents; 3/5 mother/father with resident partner -> Step family; 4/6 mother/father without resident partner -> Single parent; 7 grandparents/relatives, 9 residential care, 10 own household/boarding -> Other. 8 (foster and adoptive parents combined) -> Other; 2 (roughly equal time in two households) -> Unknown, no identifiable main home.",,
fam_screenrules,unavailable,,,Not collected.,,
fam_bedroomscreen,compatible,"MNEfernzim, MNEpczim, MNfernzim, MNpczim","local({
  tv <- coalesce(as.numeric(MNEfernzim), as.numeric(MNfernzim))
  pc <- coalesce(as.numeric(MNEpczim), as.numeric(MNpczim))
  case_when(tv %in% 1 | pc %in% c(1, 2) ~ ""TRUE"", tv %in% 2 | pc %in% 3 ~ ""FALSE"", .default = NA_character_)
})","Ages 3-17 only (not asked under 3). 'Does your child have a TV set / a computer (incl. laptop) in their room?' (computer yes with or without internet, or no); parent report at ages 3-10 (MNE*), self-report at 11-17 (MN*), disjoint series coalesced. TRUE if either device is in the room, FALSE if every answered item is no. Devices covered: TV, computer (incl. laptop).",,
fam_parentstress,incompatible,"BLEkinder1mv, BLEkinder2mv",,"Only single items of a parental daily-burden checklist ('How burdened do you feel by problems or conflicts with your child(ren) / sole responsibility for raising the child?', 1-5 not at all to very much), parent questionnaire ages 0-2; not a parenting-stress scale.",,
fam_parentstress_measure,unavailable,,,See fam_parentstress.,,
school_grade,compatible,KJEklasseB,"recode_values(
  KJEklasseB,
  1 ~ ""Klasse 1"",
  2 ~ ""Klasse 2"",
  3 ~ ""Klasse 3"",
  4 ~ ""Klasse 4"",
  5 ~ ""Klasse 5"",
  6 ~ ""Klasse 6"",
  7 ~ ""Klasse 7"",
  8 ~ ""Klasse 8"",
  9 ~ ""Klasse 9"",
  10 ~ ""Klasse 10"",
  11 ~ ""Klasse 11"",
  12 ~ ""Klasse 12/13"",
  default = NA_character_
)","Parent-reported year level, top-coded so grades 12 and 13 share one category. German Klasse labels kept (ages 6-19). Missing for ages 0-2, children not in school, and the 11-17 self-report questionnaire (item not repeated there).",,
st_measure_type,inferred,(none),"""Categorical""","All KiGGS media-time items are six-band categorical responses, converted to hours at band midpoints, with the open top band (more than 4 hours) at its floor, 4.",,
st_measure_name,inferred,(none),"""Custom""","Bespoke RKI items (GFB question 101 for parents of 3-10 year olds, questions 42 and 43 for 11-17 year olds); not a named instrument.",,
st_responder,inferred,"MNEfernC, MNEkonsC, MNEpcC, MNfernC, MNkonsC, MNpcC, MNsoznw","case_when(
  !is.na(MNEfernC) | !is.na(MNEkonsC) | !is.na(MNEpcC) ~ ""Parent or carer"",
  !is.na(MNfernC) | !is.na(MNkonsC) | !is.na(MNpcC) | !is.na(MNsoznw) ~ ""Self""
)","No 'who answered' variable; deduced from which item series has a value: MNE* parent (ages 3-10), MN* participant (ages 11-17), never both. The switch is at age 11, inside an age2 band, so it can't come from age2. NA when no media item answered. Applies to every st_* row except st_socmedia (self-report only).",,
st_total_wd,unavailable,,,No weekday/weekend split.,,
st_total_we,unavailable,,,No weekday/weekend split.,,
st_total,incompatible,"MNEfernC, MNfernC, MNEkonsC, MNkonsC, MNEpcC, MNpcC, MNsoznw",,"No all-screen item; the watching, gaming, other computer/internet and social-network items are separately asked categories and are not summed (DR-0002, DR-0004).",,
st_watch_wd,unavailable,,,No weekday/weekend split.,,
st_watch_we,unavailable,,,No weekday/weekend split.,,
st_watch,compatible,"MNEfernC, MNfernC","coalesce(
  recode_values(MNEfernC, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 2.5, 5 ~ 3.5, 6 ~ 4),
  recode_values(MNfernC, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 2.5, 5 ~ 3.5, 6 ~ 4)
)","'Television and video/DVD (incl. via PC/laptop or smartphone)', average time per day, 6 bands: not at all = 0, up to 1 h = 0.5, 1-<2 h = 1.5, 2-<3 h = 2.5, 3-<4 h = 3.5, top band 'more than 4 hours' = 4. Parents for ages 3-10 (MNE*), participants for ages 11-17 (MN*); disjoint series coalesced. Not asked under 3.",,
st_game_wd,unavailable,,,No weekday/weekend split.,,
st_game_we,unavailable,,,No weekday/weekend split.,,
st_game,compatible,"MNEkonsC, MNkonsC","coalesce(
  recode_values(MNEkonsC, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 2.5, 5 ~ 3.5, 6 ~ 4),
  recode_values(MNkonsC, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 2.5, 5 ~ 3.5, 6 ~ 4)
)","Games console or computer games, including on a smartphone (any device), average time per day. Bands, top band 'more than 4 hours' = 4, and respondents as st_watch.",,
st_game_comp_wd,unavailable,,,No device split; see st_game.,,
st_game_comp_we,unavailable,,,No device split; see st_game.,,
st_game_comp,unavailable,,,No device split; see st_game.,,
st_game_console_wd,unavailable,,,No device split; see st_game.,,
st_game_console_we,unavailable,,,No device split; see st_game.,,
st_game_console,unavailable,,,No device split; see st_game.,,
st_game_handheldconsole_wd,unavailable,,,No device split; see st_game.,,
st_game_handheldconsole_we,unavailable,,,No device split; see st_game.,,
st_game_handheldconsole,unavailable,,,No device split; see st_game.,,
st_game_active_wd,unavailable,,,No item on active or exergaming.,,
st_game_active_we,unavailable,,,No item on active or exergaming.,,
st_game_active,unavailable,,,No item on active or exergaming.,,
st_game_phone_wd,unavailable,,,No device split; see st_game.,,
st_game_phone_we,unavailable,,,No device split; see st_game.,,
st_game_phone,unavailable,,,No device split; see st_game.,,
st_game_tablet_wd,unavailable,,,No device split; see st_game.,,
st_game_tablet_we,unavailable,,,No device split; see st_game.,,
st_game_tablet,unavailable,,,No device split; see st_game.,,
st_comp_nongaming_wd,unavailable,,,No weekday/weekend split.,,
st_comp_nongaming_we,unavailable,,,No weekday/weekend split.,,
st_comp_nongaming,incompatible,"MNEpcC, MNpcC",,'Other computer use and internet (incl. via smartphone)' pools computer with phone use; mapped to st_internet.,,
st_comp_wd,unavailable,,,No weekday/weekend split.,,
st_comp_we,unavailable,,,No weekday/weekend split.,,
st_comp,incompatible,"MNEpcC, MNpcC",,"'Other computer use and internet (incl. via smartphone)' pools computer with phone use, and computer gaming sits in the pooled gaming item; mapped to st_internet.",,
st_tablet_wd,unavailable,,,No weekday/weekend split.,,
st_tablet_we,unavailable,,,No weekday/weekend split.,,
st_tablet,incompatible,"MNtech_m4, MNEtech_m4",,Tablet ownership only (yes/no); no duration.,,
st_phone_wd,unavailable,,,No weekday/weekend split.,,
st_phone_we,unavailable,,,No weekday/weekend split.,,
st_phone,incompatible,"MNtech_m1, MNEtech_m1",,Smartphone ownership only (yes/no); no duration.,,
st_socmedia_wd,unavailable,,,No weekday/weekend split.,,
st_socmedia_we,unavailable,,,No weekday/weekend split.,,
st_socmedia,compatible,MNsoznw,"recode_values(MNsoznw, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 2.5, 5 ~ 3.5, 6 ~ 4)","'How much time do you spend on average per day on social networks (e.g. Facebook or similar)?', self-report ages 11-17. Cumulative bands read as intervals: 'I do not use social networks' = 0, up to 1 h = 0.5, up to 2 h = 1.5, up to 3 h = 2.5, up to 4 h = 3.5, top band 'more than 4 hours' = 4.",,
st_educational_wd,unavailable,,,No educational/homework screen-use item; time spent reading books (MNbuch/MNEbuch) isn't screen-based.,,
st_educational_we,unavailable,,,No educational/homework screen-use item; time spent reading books (MNbuch/MNEbuch) isn't screen-based.,,
st_educational,unavailable,,,No educational/homework screen-use item; time spent reading books (MNbuch/MNEbuch) isn't screen-based.,,
st_work_wd,unavailable,,,Not collected.,,
st_work_we,unavailable,,,Not collected.,,
st_work,unavailable,,,Not collected.,,
st_internet_wd,unavailable,,,No weekday/weekend split.,,
st_internet_we,unavailable,,,No weekday/weekend split.,,
st_internet,partial,"MNEpcC, MNpcC","coalesce(
  recode_values(MNEpcC, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 2.5, 5 ~ 3.5, 6 ~ 4),
  recode_values(MNpcC, 1 ~ 0, 2 ~ 0.5, 3 ~ 1.5, 4 ~ 2.5, 5 ~ 3.5, 6 ~ 4)
)","'Other computer use and internet (incl. via smartphone)', average time per day: the residual after TV/video and gaming, any device. Partial: residual item beside separate watching and gaming categories, and includes offline computer use. Bands, top band 'more than 4 hours' = 4, and respondents as st_watch.",,
st_videochat,unavailable,,,Not collected.,,
st_messaging_wd,unavailable,,,Not collected.,,
st_messaging_we,unavailable,,,Not collected.,,
st_messaging,unavailable,,,Not collected.,,
st_creating,unavailable,,,Not collected.,,
st_email,unavailable,,,Not collected.,,
st_shopping,unavailable,,,Not collected.,,
st_total_school,unavailable,,,No school-context screen item.,,
st_educational_school,unavailable,,,No school-context screen item.,,
st_comp_school,unavailable,,,No school-context screen item.,,
st_tablet_school,unavailable,,,No school-context screen item.,,
st_internet_school,unavailable,,,No school-context screen item.,,
st_phone_school,unavailable,,,No school-context screen item.,,
acc_academachment_selfrated,incompatible,LQkids9,,"KIDSCREEN-10 item 9 (LQkids9) is school quality of life, not a performance rating; parent-reported marks are in acc_academachment_numgrades.",,
acc_academachment_lettergrades,unavailable,,,"German school marks are numeric (1-6), not letter grades. Mapped to acc_academachment_numgrades.",,
acc_academachment_stdtest,unavailable,,,No standardised achievement testing in KiGGS Wave 2.,,
acc_schoolengage_caresschool,unavailable,,,"No school engagement or homework items. KJEerwart1-4 measure parents' achievement expectations, a different construct.",,
acc_schoolengage_homework,unavailable,,,"No school engagement or homework items. KJEerwart1-4 measure parents' achievement expectations, a different construct.",,
acc_schoolpressure_self,unavailable,,,Not collected.,,
acc_schoolbelonging_self,incompatible,"LQkids25, LQkids9, LQkids10, LQkids26",,"Only the KIDSCREEN-27 school environment subscale (happy at school, got on well at school, able to pay attention, got along with teachers; past week), which rates school functioning and liking, not belonging. LQkids25 is mapped to wb_domainsat_school_self.",,
acc_schoolbelonging_measure,unavailable,,,See acc_schoolbelonging_self.,,
acc_academachment_numgrades,partial,"KJEnote1_k, KJEnote2z","7 - ((as.numeric(haven::zap_labels(KJEnote1_k)) + na_if(as.numeric(haven::zap_labels(KJEnote2z)), 0)) / 2)","Mean of parent-reported maths (KJEnote1_k) and German (KJEnote2z) marks on the last report card, 1 best to 6 worst, reversed as 7 - mean: 6 the best attainable and 2 the worst attainable, because both marks are released only up to 5 (KJEnote1_k top-codes 5 and 6). KJEnote2z code 0 set missing. Partial: two subjects, both required. Upper-secondary 0-15 points (KJEpkt1_k/KJEpkt2_k) not used.",,
acc_academachment_teacherrated,unavailable,,,No self- or teacher-rated overall performance item; achievement is captured only via reported school marks.,,
acc_numeracy_stdtest,unavailable,,,No standardised achievement testing in KiGGS Wave 2.,,
acc_literacy_stdtest,unavailable,,,No standardised achievement testing in KiGGS Wave 2.,,
beh_hyper_basc2,unavailable,,,Instrument not administered in KiGGS Wave 2.,,
beh_atten_basc2,unavailable,,,Instrument not administered in KiGGS Wave 2.,,
beh_atten_self,incompatible,VAhyp,,SDQ hyperactivity/inattention subscale only; mapped to beh_hyper_sdq_self.,,
beh_atten_measure,unavailable,,,See beh_atten_self.,,
beh_selfreg_htks,unavailable,,,Instrument not administered in KiGGS Wave 2.,,
beh_bullied,incompatible,"VAsdq12, VAEsdq12",,"SDQ item 12 (parent: often quarrels with or bullies other children; self: I fight a lot, I can make others do what I want), a truth rating scored in beh_conduct_sdq_*.",,
beh_beenbullied,incompatible,"VAsdq19, VAEsdq19",,"SDQ item 19 'picked on or bullied by other children', a truth rating scored in beh_peerprob_sdq_*.",,
beh_beenbullied_online,unavailable,,,No online bullying item.,,
beh_bullied_online,unavailable,,,No online bullying item.,,
beh_fight,incompatible,"VAsdq12, VAEsdq12",,"SDQ item 12, truth rating scored in the conduct subscale.",,
beh_truancy,unavailable,,,Not collected.,,
beh_stealing,incompatible,"VAsdq22, VAEsdq22",,"SDQ item 22 'steals from home, school or elsewhere', a truth rating scored in beh_conduct_sdq_*.",,
beh_vandalism,unavailable,,,Not collected.,,
beh_alcohol_self,partial,AKauditc1,"recode_values(as.numeric(AKauditc1), 0 ~ ""FALSE"", c(1, 2, 3, 4) ~ ""TRUE"")","AUDIT-C item 1 'How often do you have an alcoholic drink, e.g. a glass of wine, beer, mixed drink, schnapps or liqueur?', self-report ages 11-17. Never (including never-drinkers routed past it via AKalk) = FALSE; once a month or less and above = TRUE. Partial: current usual frequency with no stated recall period.",,
beh_tobacco_self,partial,RCstatB,"recode_values(as.numeric(RCstatB), 5 ~ ""FALSE"", c(1, 2, 3, 4) ~ ""TRUE"")","'Do you currently smoke?' (daily, several times a week, once a week, less often, no), self-report ages 11-17; any smoking = TRUE, no = FALSE. Partial: current status with no stated recall period. Waterpipe/shisha is asked separately (RCshi*) and not included.",,
beh_cannabis_self,unavailable,,,Not collected.,,
beh_conduct_sdq_parent,compatible,VAEverh,as.numeric(haven::zap_labels(VAEverh)),"RKI-derived SDQ conduct problems subscale, parent-reported: items rescaled 1-3 -> 0-2, reverse-worded items reversed, set missing when fewer than three of the five items are answered, prorated and rounded half up (checked against the VAEsdq*/VAsdq* items). Range 0-10. Ages 3-17.",,
beh_hyper_sdq_parent,compatible,VAEhyp,as.numeric(haven::zap_labels(VAEhyp)),"RKI-derived SDQ hyperactivity/inattention subscale, parent-reported. Same scoring as beh_conduct_sdq_parent. Range 0-10. Ages 3-17.",,
beh_peerprob_sdq_parent,compatible,VAEpeer,as.numeric(haven::zap_labels(VAEpeer)),"RKI-derived SDQ peer problems subscale, parent-reported. Same scoring as beh_conduct_sdq_parent. Range 0-10. Ages 3-17.",,
beh_prosocial_sdq_parent,compatible,VAEpro,as.numeric(haven::zap_labels(VAEpro)),"RKI-derived SDQ prosocial behaviour subscale, parent-reported. Same scoring as beh_conduct_sdq_parent. Range 0-10. Ages 3-17.",,
beh_aggphys_bpaq_self,unavailable,,,Instrument not administered in KiGGS Wave 2.,,
beh_aggverb_bpaq_self,unavailable,,,Instrument not administered in KiGGS Wave 2.,,
beh_agganger_bpaq_self,unavailable,,,Instrument not administered in KiGGS Wave 2.,,
beh_agghostility_bpaq_self,unavailable,,,Instrument not administered in KiGGS Wave 2.,,
beh_agg_self,unavailable,,,Instrument not administered in KiGGS Wave 2.,,
beh_agg_measure,unavailable,,,See beh_agg_self.,,
beh_argues,incompatible,VAEsdq12,,"Only parent SDQ item 12 'Streitet sich oft mit anderen Kindern oder schikaniert sie' (often quarrels with or bullies other children), a truth rating scored in beh_conduct_sdq_parent.",,
beh_persistence_finishwork,incompatible,"VAsdq25, VAEsdq25",,"SDQ item 25 'sees tasks through to the end, good attention span', a truth rating scored in beh_hyper_sdq_*.",,
beh_emotreg_stayscalm,incompatible,"VAsdq5, VAEsdq5",,"SDQ item 5 'often has temper tantrums', a problem-worded truth rating scored in beh_conduct_sdq_*.",,
beh_peerprob_makefriends,incompatible,"VAsdq11, VAsdq14, VAEsdq11, VAEsdq14",,"SDQ items 11 'has at least one good friend' and 14 'generally liked by other children', truth ratings scored in beh_peerprob_sdq_*.",,
beh_conduct_diagnosed,unavailable,,,"No conduct-problem diagnosis item. PKEadhs (lifetime ADHD) is a hyperactivity, not conduct, construct.",,
beh_conduct_diagnosed_severity,unavailable,,,"No conduct-problem diagnosis item. PKEadhs (lifetime ADHD) is a hyperactivity, not conduct, construct.",,
beh_conduct_sdq_self,compatible,VAverh,as.numeric(haven::zap_labels(VAverh)),"RKI-derived SDQ conduct problems subscale, self-reported. Same scoring as beh_conduct_sdq_parent. Range 0-10. Ages 11-17.",,
beh_hyper_sdq_self,compatible,VAhyp,as.numeric(haven::zap_labels(VAhyp)),"RKI-derived SDQ hyperactivity/inattention subscale, self-reported. Same scoring as beh_conduct_sdq_parent. Range 0-10. Ages 11-17.",,
beh_peerprob_sdq_self,compatible,VApeer,as.numeric(haven::zap_labels(VApeer)),"RKI-derived SDQ peer problems subscale, self-reported. Same scoring as beh_conduct_sdq_parent. Range 0-10. Ages 11-17.",,
beh_prosocial_sdq_self,compatible,VApro,as.numeric(haven::zap_labels(VApro)),"RKI-derived SDQ prosocial behaviour subscale, self-reported. Same scoring as beh_conduct_sdq_parent. Range 0-10. Ages 11-17.",,
beh_conduct_sdq_teacher,unavailable,,,No teacher-report questionnaire in KiGGS Wave 2.,,
beh_hyper_sdq_teacher,unavailable,,,No teacher-report questionnaire in KiGGS Wave 2.,,
beh_peerprob_sdq_teacher,unavailable,,,No teacher-report questionnaire in KiGGS Wave 2.,,
beh_prosocial_sdq_teacher,unavailable,,,No teacher-report questionnaire in KiGGS Wave 2.,,
beh_ext_sdq_parent,unavailable,,,Both component subscales mapped; derive at analysis.,,
beh_ext_sdq_self,unavailable,,,Both component subscales mapped; derive at analysis.,,
beh_ext_sdq_teacher,unavailable,,,No teacher-report questionnaire in KiGGS Wave 2.,,
beh_agg_cbcl_parent,unavailable,,,CBCL not administered.,,
beh_atten_cbcl_parent,unavailable,,,CBCL not administered.,,
beh_rulebreak_cbcl_parent,unavailable,,,CBCL not administered.,,
beh_ext_cbcl_parent,unavailable,,,CBCL not administered.,,
beh_cbcl_measure,unavailable,,,CBCL not administered.,,
beh_prosocial_online_self,unavailable,,,Not collected.,,
beh_prosocial_online_measure,unavailable,,,Not collected.,,
beh_problematicuse_self,unavailable,,,Not collected.,,
beh_problematicuse_measure,unavailable,,,See beh_problematicuse_self.,,
cog_execfunc_basc2,unavailable,,,"No cognitive testing in KiGGS Wave 2; the examination survey covers physical measures, blood and urine samples only.",,
cog_langexec_nepsy,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_phono_nepsy,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_inhibcont_nepsy,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_vismotor_nepsy,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_verbalfluency_nepsy,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_inhib_nihtb_flanker,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_flex_nihtb_dccs,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_wm_nihtb_listsort,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_speed_nihtb_pattern,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_epimem_nihtb_picseq,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_vocab_nihtb_picvocab,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_fluidcomp_nihtb,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_crystcomp_nihtb,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_totalcomp_nihtb,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_wm_digitspan,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_iq_fullscale,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_vocab_bpvs,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_vocab_ppvt,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_execfunc_brief_parent,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_vocab_bas_naming,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_nonverbalreason_bas_picsim,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_spatial_bas_pattern,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_verbalreason_bas_versim,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
cog_schoolread_bracken,unavailable,,,No cognitive testing in KiGGS Wave 2.,,
